UID,composite_ID,test,congruence,theta,se,TSVR_hours,TSVR_sq,TSVR_log
A021,A021_2,2,common,-0.09058025,0.2040954520165139,30.21,912.6441000000001,3.440738556282688
A021,A021_2,2,congruent,0.16485931,0.2036301722131973,30.21,912.6441000000001,3.440738556282688
A021,A021_2,2,incongruent,-0.3997267,0.2502669460427529,30.21,912.6441000000001,3.440738556282688
A021,A021_3,3,common,0.9444324,0.2040954520165139,74.19,5504.156099999999,4.320018243389936
A021,A021_3,3,congruent,-0.114928916,0.2036301722131973,74.19,5504.156099999999,4.320018243389936
A021,A021_3,3,incongruent,-0.36840147,0.2502669460427529,74.19,5504.156099999999,4.320018243389936
A021,A021_4,4,common,0.5578035,0.2040954520165139,140.39,19709.352099999996,4.951522029603749
A021,A021_4,4,congruent,0.2495368,0.2036301722131973,140.39,19709.352099999996,4.951522029603749
A021,A021_4,4,incongruent,1.23852,0.2502669460427529,140.39,19709.352099999996,4.951522029603749
A022,A022_1,1,common,-0.4236533,0.2040954520165139,1.0,1.0,0.6931471805599453
A022,A022_1,1,congruent,0.62929916,0.2036301722131973,1.0,1.0,0.6931471805599453
A022,A022_1,1,incongruent,0.2933909,0.2502669460427529,1.0,1.0,0.6931471805599453
A022,A022_2,2,common,0.20327306,0.2040954520165139,24.15,583.2225,3.224857896545748
A022,A022_2,2,congruent,0.10790876,0.2036301722131973,24.15,583.2225,3.224857896545748
A022,A022_2,2,incongruent,0.9038785,0.2502669460427529,24.15,583.2225,3.224857896545748
A022,A022_3,3,common,0.29236212,0.2040954520165139,74.46,5544.291599999999,4.323602714536165
A022,A022_3,3,congruent,1.4403747,0.2036301722131973,74.46,5544.291599999999,4.323602714536165
A022,A022_3,3,incongruent,0.69888675,0.2502669460427529,74.46,5544.291599999999,4.323602714536165
A022,A022_4,4,common,0.48732495,0.2040954520165139,141.71,20081.724100000003,4.9608145991123
A022,A022_4,4,congruent,0.61441493,0.2036301722131973,141.71,20081.724100000003,4.9608145991123
A022,A022_4,4,incongruent,0.38897958,0.2502669460427529,141.71,20081.724100000003,4.9608145991123
A023,A023_1,1,common,0.60447335,0.2040954520165139,1.0,1.0,0.6931471805599453
A023,A023_1,1,congruent,-0.6329472,0.2036301722131973,1.0,1.0,0.6931471805599453
A023,A023_1,1,incongruent,0.55612123,0.2502669460427529,1.0,1.0,0.6931471805599453
A023,A023_2,2,common,-0.04841172,0.2040954520165139,25.63,656.8969,3.282038399825841
