composite_ID,theta_What,theta_Where,theta_When
A080_T4,-0.9621165,-0.98703885,-0.70113933
A081_T1,-0.5657022,-0.32657027,-0.15418586
A081_T2,-0.57162774,-0.57219005,-0.75064003
A081_T3,-0.4817932,-0.5720502,-0.7101195
A081_T4,-0.50138223,-0.8897333,-0.90362513
A082_T1,-0.3168302,-0.45640856,-0.6547843
A082_T2,-0.40361503,-0.5266374,-0.45096716
A082_T3,-0.5685396,-0.7305981,-0.50343895
A082_T4,-0.96588624,-1.090895,-1.1354429
A083_T1,0.018591017,-0.12150742,0.02760353
A083_T2,-0.44802275,-0.6239777,-0.56449544
A083_T3,-0.37728158,-0.60190344,-0.36752185
A083_T4,-0.66460335,-0.68635154,-0.59099936
A084_T1,-1.4331853,-1.5499203,-1.4835275
A084_T2,-1.4745795,-1.5869828,-1.5289775
A084_T3,-1.3097517,-1.1143078,-1.142617
A084_T4,-1.6923511,-1.602105,-1.5328685
A085_T1,-0.38035348,-0.25318837,-0.58563054
A085_T2,-0.04005006,-0.11708172,-0.41342124
A085_T3,-0.28234783,-0.2595483,0.11793222
A085_T4,-0.7432494,-0.72260123,-0.32043657
A086_T1,-0.27768913,-0.23391117,-0.008483268
A086_T2,-0.23064414,-0.29007387,-0.2594379
A086_T3,-0.7107192,-0.9207403,-0.932577
A086_T4,-0.722934,-1.0113813,-1.0109538
A087_T1,-0.054754168,-0.026219264,0.0026670918
A087_T2,-0.26214352,-0.28558314,-0.5838145
A087_T3,-0.37678793,-0.48680007,-0.7020484
A087_T4,-0.3174198,-0.38517576,-0.6367756
A088_T1,-0.56440234,-0.2600125,-0.15838823
A088_T2,-0.23736039,-0.29164934,-0.19277975
A088_T3,-0.41877726,-0.5087376,-0.40854868
A088_T4,-0.39656892,-0.29172325,-0.6137816
A089_T1,-0.217266,-0.22393312,-0.19652995
A089_T2,-0.2359952,-0.29343867,-0.36452362
A089_T3,-0.7366116,-0.6298454,-0.82226956
A089_T4,-0.6994215,-0.54265195,-0.7616352
A090_T1,-1.4692822,-1.5670506,-1.4920688
A090_T2,-1.1952229,-1.2699987,-1.2462465
A090_T3,-2.0474596,-2.069781,-1.9891815
A090_T4,-2.0331767,-1.9668014,-1.8586743
A091_T1,-0.36034837,-0.43956757,-0.6521541
A091_T2,-0.55241823,-0.72083104,-0.7713685
A091_T3,-0.8649868,-1.1458753,-1.1139857
A091_T4,-0.53844345,-0.59640485,-0.7703668
A092_T1,-0.5570618,-0.3667572,-0.65544355
A092_T2,-0.60014653,-0.5566789,-0.2500144
A092_T3,-0.8251904,-0.7770519,-0.8979472
A092_T4,-1.1986498,-1.3017849,-1.2646381
A093_T1,-0.36110988,-0.1955737,0.2472662
A093_T2,-1.6934416,-1.7216395,-1.7448347
A093_T3,-1.96777,-1.9264799,-1.8584505
A093_T4,-2.1657586,-2.1593616,-2.02638
A094_T1,-0.8168973,-1.0975376,-1.0383769
A094_T2,-0.8141309,-1.0423614,-1.0309349
A094_T3,-1.0684667,-1.3365623,-1.284942
A094_T4,-1.0670611,-1.2513518,-1.1996559
A095_T1,-0.20887676,-0.2237698,0.013633393
A095_T2,-0.7010299,-0.8859803,-0.7107558
A095_T3,-0.49977425,-0.625487,-0.764603
A095_T4,-0.9923825,-1.0896904,-1.109481
A096_T1,-0.510702,-0.3448615,0.20396128
A096_T2,-1.004565,-0.6941377,-0.6568688
A096_T3,-0.8479867,-0.70279765,-0.38276514
A096_T4,-0.58526134,-0.6390338,0.11092033
A097_T1,-0.87889767,-1.0146669,-0.47486815
A097_T2,-2.0694036,-2.0257168,-1.8840026
A097_T3,-1.7150651,-1.7377933,-1.6530291
A097_T4,-2.0682902,-2.045456,-1.9348583
A098_T1,-0.31978098,-0.3194369,-0.3075615
A098_T2,-0.5670861,-0.51611006,-0.7355528
A098_T3,-0.14955953,-0.28599316,-0.04791508
A098_T4,-0.48415247,-0.5778301,-0.2574328
A099_T1,-0.22204867,-0.25818574,-0.22458085
A099_T2,-0.43401662,-0.35657406,-0.6585107
A099_T3,-0.0940198,-0.44234842,-0.31811258
A099_T4,-0.03179446,0.09153436,0.055822395
A100_T1,-1.0474428,-1.0916619,-1.0875663
A100_T2,-1.3159981,-1.3983251,-1.3190504
A100_T3,-1.0526224,-1.2043755,-1.2011713
A100_T4,-2.0224142,-2.0087585,-1.8692921
A101_T1,-1.1576213,-1.0072445,-1.0635726
A101_T2,-1.040707,-1.200962,-1.1669272
A101_T3,-2.0325058,-2.0348854,-1.9653441
A101_T4,-2.1227672,-2.1339562,-1.9857408
A102_T1,-0.32580402,-0.6242889,-0.74224937
A102_T2,-0.5055263,-0.46690804,-0.34321448
A102_T3,-0.7019131,-0.7181231,-0.8509412
A102_T4,-0.49206534,-0.68270093,-0.784829
A103_T1,-1.626765,-1.6811699,-1.6216727
A103_T2,-2.0394585,-2.0403252,-2.0100205
A103_T3,-2.0875034,-2.0589988,-1.967279
A103_T4,-2.1596365,-2.1417863,-1.9939035
A104_T1,-0.013011843,-0.17172576,-0.25294837
A104_T2,-0.18802741,-0.2525313,-0.57647765
A104_T3,-0.5164732,-0.4166276,-0.43542573
A104_T4,-1.188951,-1.2831277,-1.2140411
A105_T1,0.17413673,0.11058651,0.15559867
A105_T2,-0.04586354,-0.16629256,-0.5118675
A105_T3,-0.527735,-0.63646793,-0.7844366
A105_T4,-0.91028345,-0.6369841,-0.87349236
A106_T1,0.020874351,-0.2272457,0.018563412
A106_T2,-0.47262433,-0.7694466,-0.8414066
A106_T3,-0.3875238,-0.5206481,-0.6880995
A106_T4,-0.3522971,-0.50707513,-0.69290006
A107_T1,-2.058489,-2.0493772,-1.9351102
A107_T2,-2.3236837,-2.3378382,-2.2414134
A107_T3,-1.6782309,-1.5816208,-1.5241948
A107_T4,-2.0916638,-2.084684,-1.9853928
A108_T1,-0.76933706,-0.83368003,-0.50445426
A108_T2,-1.0867113,-1.0687503,-1.0796103
A108_T3,-0.96372056,-0.97772264,-1.034801
A108_T4,-1.0986226,-1.0151265,-1.0622257
A109_T1,-1.1759999,-1.3046232,-1.2434019
A109_T2,-1.6213481,-1.6963677,-1.5981131
A109_T3,-1.0646309,-1.0500844,-0.7200943
A109_T4,-2.0483036,-2.062524,-1.9936644
