domain_name,age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
When,Middle,162.51,,,,,
When,Middle,164.93,-0.79833627,,,,-0.4874737608781895
When,Middle,166.33,,,,,
When,Middle,166.87,,,,,
When,Middle,168.33,,,,,
When,Middle,168.86,,,,,
When,Middle,169.55,,,,,
When,Middle,170.25,,,,,
When,Middle,170.65,,,,,
When,Middle,187.43,-0.60172194,,,,-0.9331392216102734
When,Middle,194.42,0.7509921,,,,-0.09766718959273073
When,Middle,244.53,,,,,
When,Middle,246.24,,,,,
When,Older,1.0,0.3899134342424242,0.14117641493048072,0.11320766097868201,0.6666192075061663,0.3789849533911848
When,Older,16.9,,,,,
When,Older,17.16,,,,,
When,Older,20.61,,,,,
When,Older,21.63,,,,,
When,Older,21.9,,,,,
When,Older,21.98,,,,,
When,Older,22.09,0.11884567,,,,0.328996039262027
When,Older,22.2,0.65469027,,,,0.08475213437128715
When,Older,22.6,0.84386843,,,,0.44258943727707906
When,Older,22.64,-0.4354155,,,,0.6055752172287859
When,Older,22.77,0.24417153,,,,0.19917671483649083
When,Older,22.82,,,,,
When,Older,22.83,-0.42812535,,,,-0.4749650008710875
When,Older,22.96,,,,,
When,Older,22.98,0.46111983,,,,-0.27448911446830826
When,Older,23.24,,,,,
When,Older,23.33,,,,,
When,Older,23.35,,,,,
When,Older,23.46,,,,,
When,Older,23.47,-0.5171918,,,,-0.152897281380886
When,Older,23.54,-0.6505352,,,,-0.3788308027692662
When,Older,23.69,,,,,
When,Older,23.7,,,,,
When,Older,23.91,,,,,
When,Older,24.15,,,,,
When,Older,24.25,-0.31528148,,,,0.8826788948774421
When,Older,24.32,,,,,
When,Older,24.37,-0.3395108,,,,-0.00018376783438055558
When,Older,24.49,-0.4185087,,,,-0.8727468443697879
When,Older,24.51,-0.47382683,,,,0.09204728837838101
When,Older,24.57,,,,,
When,Older,24.65,0.88505614,,,,-0.37941995130964623
When,Older,24.66,,,,,
When,Older,24.73,,,,,
When,Older,24.77,,,,,
When,Older,24.78,,,,,
When,Older,24.87,,,,,
When,Older,24.96,,,,,
When,Older,25.15,-0.45229053,,,,0.39689255805652135
When,Older,25.6,,,,,
When,Older,25.62,,,,,
When,Older,25.63,,,,,
When,Older,25.66,,,,,
When,Older,25.77,-0.2349469,,,,0.3852082827088468
When,Older,26.08,,,,,
When,Older,26.11,,,,,
When,Older,26.17,,,,,
When,Older,26.22,-0.28175655,,,,-0.5355456831168488
When,Older,26.26,,,,,
When,Older,26.48,,,,,
When,Older,26.85,,,,,
When,Older,27.12,,,,,
When,Older,27.25,-0.27028632,,,,0.030802532037262246
When,Older,27.26,0.31559962,,,,-0.1581424869065885
When,Older,27.3,-0.43344772,,,,-0.6254562439547324
When,Older,27.61,0.24186571,,,,-0.45204075489411144
When,Older,27.97,-0.0019905437,,,,0.45682818271670844
When,Older,28.26,,,,,
When,Older,28.43,,,,,
When,Older,28.65,,,,,
When,Older,28.68,-0.5502456,,,,-0.15243566139724074
When,Older,28.69,,,,,
When,Older,28.75,-0.41050053,,,,0.2572870591313986
When,Older,28.93,,,,,
When,Older,29.03,0.44364765,,,,0.19179997023357337
When,Older,29.12,0.81957674,,,,-0.5433259825626022
When,Older,29.13,-0.33513072,,,,0.01636849265418399
When,Older,29.16,,,,,
When,Older,29.33,-0.52071154,,,,-0.06948615798009986
When,Older,29.57,,,,,
When,Older,29.71,-0.49500343,,,,0.08222812901515586
When,Older,29.91,,,,,
When,Older,30.21,,,,,
When,Older,30.4,,,,,
When,Older,30.49,,,,,
When,Older,30.92,,,,,
When,Older,31.07,-0.49443603,,,,0.4796109925736531
When,Older,31.14,-0.33779326,,,,0.24898288540388597
When,Older,31.39,-0.025125109,,,,0.17531067431057712
When,Older,31.76,,,,,
When,Older,31.78,,,,,
When,Older,32.14,-0.21348219,,,,0.6087262302039369
When,Older,32.31,,,,,
When,Older,32.41,,,,,
When,Older,32.71,,,,,
When,Older,32.85,,,,,
When,Older,32.95,,,,,
When,Older,33.61,,,,,
When,Older,33.76,,,,,
When,Older,34.03,,,,,
When,Older,35.16,,,,,
When,Older,37.65,,,,,
When,Older,44.69,,,,,
When,Older,44.76,,,,,
When,Older,47.66,,,,,
When,Older,53.88,,,,,
When,Older,57.18,,,,,
When,Older,61.28,,,,,
When,Older,64.94,,,,,
When,Older,65.63,,,,,
When,Older,66.08,1.3641832,,,,0.5646927268811167
When,Older,66.28,,,,,
When,Older,66.66,,,,,
When,Older,66.9,,,,,
When,Older,68.96,0.083498195,,,,-0.43422175040683264
When,Older,69.46,0.059506916,,,,0.13776275029815263
When,Older,69.99,,,,,
When,Older,70.22,1.6647446,,,,0.40977383726158545
When,Older,70.56,,,,,
When,Older,70.59,,,,,
When,Older,70.83,-0.605232,,,,0.1555953145409548
When,Older,71.17,-0.2843768,,,,-0.4109112924255184
When,Older,71.19,-0.29439145,,,,-0.9131689803926524
When,Older,71.28,,,,,
When,Older,71.31,-0.05944928,,,,-0.5018238081074887
When,Older,71.37,1.1863189,,,,-0.19187507867083667
When,Older,71.4,-0.3005388,,,,0.061776853312923735
When,Older,71.45,0.77518064,,,,-0.5601267737068483
When,Older,71.46,,,,,
When,Older,71.47,,,,,
When,Older,71.56,,,,,
When,Older,71.85,,,,,
When,Older,71.93,,,,,
When,Older,72.08,,,,,
When,Older,72.17,,,,,
When,Older,72.2,,,,,
When,Older,72.23,,,,,
When,Older,72.26,,,,,
When,Older,72.3,,,,,
When,Older,72.55,,,,,
When,Older,72.6,,,,,
When,Older,72.62,-0.46309766,,,,0.005235320285874284
When,Older,72.8,0.13714062,,,,0.34573067969981314
When,Older,72.83,,,,,
When,Older,72.86,,,,,
When,Older,72.87,0.5041131,,,,0.09272960708357125
When,Older,72.94,,,,,
When,Older,73.02,-0.81617445,,,,-0.2741450513310595
When,Older,73.05,,,,,
When,Older,73.19,,,,,
When,Older,73.64,-0.48093566,,,,-0.021720519730176704
When,Older,73.79,,,,,
When,Older,73.83,,,,,
When,Older,74.0,,,,,
When,Older,74.19,,,,,
When,Older,74.28,,,,,
