TSVR_hours,domain,theta,predicted_theta,UID
79.96,what,-1.3526621,-0.1610346767345685,A071
79.98,what,-0.5536363,-0.16113624645907565,A035
80.13,what,0.57945955,-0.16189739724855134,A081
80.16,what,1.1361644,-0.1620494958269395,A032
80.24,what,-2.3483527,-0.16245487796679314,A103
80.64,what,0.5615947,-0.1644771332584507,A016
80.88,what,-0.20786455,-0.1656867791740515,A010
80.98,what,0.32017773,-0.16618998154819298,A052
81.15,what,1.2428203,-0.16704432652978984,A048
81.92,what,0.111368,-0.1708967893739286,A070
82.55,what,-0.14096707,-0.1740280305651314,A061
82.98,what,0.38155702,-0.17615461416214329,A068
82.99,what,0.7569932,-0.17620396782963,A064
83.54,what,-0.43276745,-0.17891133978164553,A072
83.64,what,-1.1313053,-0.17940210123645983,A018
83.68,what,-0.7494449,-0.17959827817025042,A019
91.47,what,0.61174965,-0.21647814934798681,A024
91.63,what,-1.1271453,-0.2172092756767975,A044
91.97,what,-0.13927744,-0.21875956583900513,A084
92.72,what,-0.3143865,-0.22216331357014407,A062
93.26,what,1.1944488,-0.2246004964087509,A029
93.39,what,-0.3239175,-0.22518554933422952,A050
94.68,what,-0.4725994,-0.2309562101744035,A060
95.42,what,-2.383378,-0.23423826657390823,A090
98.84,what,-0.42993444,-0.24914716524964242,A039
106.41,what,-1.8023599,-0.28072251280208715,A065
111.38,what,0.70681286,-0.30047131198272403,A049
136.83,what,0.367707,-0.39142754819267433,A054
137.74,what,-1.3438815,-0.3944066880189925,A025
138.91,what,-1.4094522,-0.3982124765400712,A028
140.08,what,-0.21905103,-0.40199102991198843,A078
140.12,what,1.6254737,-0.4021197344126193,A073
140.22,what,-1.2311503,-0.4024413584776425,A069
140.39,what,2.1473718,-0.40298767017792914,A021
140.49,what,0.16414243,-0.40330876615670275,A017
140.95,what,0.35448438,-0.40478329781656086,A093
141.09,what,0.13872528,-0.4052312522099981,A063
141.71,what,-0.1070101,-0.40721049473891213,A022
141.84,what,0.47991753,-0.4076245579630209,A041
142.61,what,-0.46230045,-0.4100704511178077,A091
143.14,what,0.40829158,-0.4117474287788465,A029
143.48,what,-0.55715656,-0.4128204282026513,A058
143.51,what,0.097553015,-0.4129150000189983,A099
143.53,what,-2.0088344,-0.41297803848746173,A040
143.66,what,-0.20466933,-0.413387605186353,A037
143.66,what,-1.5242242,-0.413387605186353,A096
143.85,what,-0.53367615,-0.41398563177785097,A031
143.85,what,0.2076543,-0.41398563177785097,A036
143.91,what,1.0427784,-0.41417434164805944,A060
144.07,what,-0.91827035,-0.4146772384882409,A090
144.19,what,-1.0872278,-0.4150540970383898,A067
144.2,what,-0.102443576,-0.4150854897796352,A087
