UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,calibration
A066,T4,A066_T4,164.93,-1.3657405596559624,-1.6606635778619485,-0.2949230182059861
A067,T1,A067_T1,1.0,0.6954752553235585,0.33233679225484253,-0.36313846306871594
A067,T2,A067_T2,29.91,-1.396629627309237,-1.0740167022683167,0.3226129250409202
A067,T3,A067_T3,73.19,-1.569277240006302,-0.7466146727586593,0.8226625672476426
A067,T4,A067_T4,144.19,-1.252075100031227,0.030357834429657896,1.282432934460885
A068,T1,A068_T1,1.0,1.3746231959582351,1.8488848731167096,0.47426167715847445
A068,T2,A068_T2,30.49,0.16635982307229286,1.2171973817055945,1.0508375586333016
A068,T3,A068_T3,82.98,0.43757868032355857,0.7547058327733104,0.3171271524497518
A068,T4,A068_T4,155.59,-0.4203872288912937,0.3450584363891746,0.7654456652804683
A069,T1,A069_T1,1.0,-0.8400112595603694,-0.24785803220062816,0.5921532273597412
A069,T2,A069_T2,24.96,-1.6026934332252178,-0.5365407692881556,1.0661526639370622
A069,T3,A069_T3,79.75,-0.7618682807031463,-0.2689055781428225,0.49296270256032376
A069,T4,A069_T4,140.22,-1.8190723097661474,-0.9335780597175584,0.8854942500485891
A070,T1,A070_T1,1.0,0.6256291953773039,0.3105696839545065,-0.31505951142279737
A070,T2,A070_T2,24.25,0.03814892424447772,0.37022669584086854,0.33207777159639085
