UID,test,composite_ID,TSVR_hours,theta_accuracy,se_accuracy,theta_confidence,se_confidence,z_theta_accuracy,z_theta_confidence
A055,T4,A055_T4,149.21,-0.62007034,,-1.260757,0.033312414,-0.6634023436407634,-1.4525770987778257
A056,T1,A056_T1,1.0,0.5282342,,-0.77102643,0.033312414,0.5530252888945004,-0.31977626361225686
A056,T2,A056_T2,33.61,0.54977185,,-0.93695015,0.033312414,0.5758406585871718,-0.7035761325683199
A056,T3,A056_T3,71.46,-0.4118956,,-0.7083756,0.033312414,-0.4428776506600633,-0.17485798222374532
A056,T4,A056_T4,147.84,-0.9539059,,-0.79573447,0.033312414,-1.0170426766371687,-0.3769286859070387
A057,T1,A057_T1,1.0,0.4946756,,-0.47107366,0.033312414,0.5174758271208859,0.3740475839907749
A057,T2,A057_T2,24.78,-0.77376056,,-0.55252665,0.033312414,-0.826210225997846,0.1856378322802931
A057,T3,A057_T3,73.83,-0.68134856,,-0.6045535,0.033312414,-0.7283158900772994,0.06529398866229363
A057,T4,A057_T4,145.06,-1.0877718,,-0.5674088,0.033312414,-1.1588501624929701,0.15121377754125706
A058,T1,A058_T1,1.0,1.0215306,,-0.16339521,0.033312414,1.0755864659061043,1.0857417817257617
A058,T2,A058_T2,22.96,-0.8427394,,-0.3716868,0.033312414,-0.8992812312176188,0.6039403554640435
A058,T3,A058_T3,66.28,-0.121771336,,-1.0395465,0.033312414,-0.1355417834705494,-0.9408928084804218
A058,T4,A058_T4,143.48,-1.0669552,,-0.97823644,0.033312414,-1.1367986190448935,-0.7990758760147783
A059,T1,A059_T1,1.0,0.99710035,,-0.5023268,0.033312414,1.0497068929055964,0.30175562334484995
A059,T2,A059_T2,30.4,1.2424322,,-0.47173324,0.033312414,1.3095930390328219,0.37252190268634156
A059,T3,A059_T3,79.78,1.3356622,,-0.9825946,0.033312414,1.4083539027504404,-0.8091567808841336
A059,T4,A059_T4,151.93,0.38432297,,-0.5769608,0.033312414,0.40057653448642505,0.12911894777087635
A060,T1,A060_T1,1.0,-0.051358394,,-0.50129473,0.033312414,-0.060951598242419226,0.3041429151121359
A060,T2,A060_T2,24.87,1.310061,,-0.3035681,0.033312414,1.381233913216948,0.7615064233743902
A060,T3,A060_T3,94.68,-0.5090028,,-0.39956075,0.033312414,-0.5457457290168103,0.5394648340781447
A060,T4,A060_T4,143.91,0.19280487,,-0.35726425,0.033312414,0.19769663559596878,0.6373013047003085
A061,T1,A061_T1,1.0,2.529091,,0.49123833,0.033312414,2.672582789090471,2.5999813784889225
A061,T2,A061_T2,35.16,0.94611883,,0.10699007,0.033312414,0.9957008975303198,1.7111727630926719
A061,T3,A061_T3,82.55,0.27741587,,-0.22055449,0.033312414,0.2873271776962737,0.9535260613114478
A061,T4,A061_T4,146.56,-0.2929151,,-0.2480352,0.033312414,-0.31683864019611274,0.8899601474275283
A062,T1,A062_T1,1.0,1.5359104,,-0.19396584,0.033312414,1.6204818142585216,1.0150285420038927
A062,T2,A062_T2,44.69,0.14121151,,-0.42571765,0.033312414,0.14304250285228082,0.47896103876607704
A062,T3,A062_T3,92.72,-0.59946907,,-1.2115375,0.033312414,-0.6415789046310041,-1.3387269654148386
A062,T4,A062_T4,149.18,-0.7168849,,-0.6887581,0.033312414,-0.7659604211484455,-0.1294805405340005
A063,T1,A063_T1,1.0,0.86206603,,-1.2219437,0.033312414,0.906661670608897,-1.3627976540200035
A063,T2,A063_T2,21.98,0.7186035,,-1.9641893,0.033312414,0.7546882352992889,-3.0796936108682127
A063,T3,A063_T3,69.99,0.17484958,,-1.1443956,0.033312414,0.1786761491785032,-1.1834203436644277
A063,T4,A063_T4,141.09,-0.58241045,,-1.078894,0.033312414,-0.6235082831032701,-1.031907916770838
A064,T1,A064_T1,1.0,0.83211017,,-0.14825012,0.033312414,0.8749286811526699,1.1207740456921662
A064,T2,A064_T2,37.65,0.56187433,,-0.4947842,0.033312414,0.5886611174300894,0.3192024892395393
A064,T3,A064_T3,82.99,0.17636402,,-0.52582866,0.033312414,0.18028043323351242,0.24739322845505524
A064,T4,A064_T4,156.21,-0.33321425,,-0.7778792,0.033312414,-0.35952853466233464,-0.33562747661535264
A065,T1,A065_T1,1.0,-2.2385516,,-0.79110265,0.033312414,-2.3778998996675735,-0.3662147752676916
A065,T2,A065_T2,32.31,-0.9801161,,-1.2535007,0.033312414,-1.0448077950562562,-1.435792476367565
A065,T3,A065_T3,106.41,-2.2205753,,-0.29050693,0.033312414,-2.3588571568332175,0.7917183504841059
A065,T4,A065_T4,187.43,-2.3754525,,-0.641902,0.033312414,-2.5229224367019976,-0.021097212099752464
A066,T1,A066_T1,1.0,0.46571386,,-0.6773158,0.033312414,0.48679593376933483,-0.10301323832696244
A066,T2,A066_T2,23.35,-0.45289963,,-0.52447873,0.033312414,-0.48631424208667645,0.2505157654684481
A066,T3,A066_T3,73.79,-0.92944336,,-0.7255086,0.033312414,-0.9911288980345001,-0.2144885013250782
A066,T4,A066_T4,164.93,-1.2830758,,-1.3507166,0.033312414,-1.3657405596559624,-1.6606635778619485
A067,T1,A067_T1,1.0,0.6627066,,-0.489106,0.033312414,0.6954752553235585,0.33233679225484253
A067,T2,A067_T2,29.91,-1.312235,,-1.0970984,0.033312414,-1.396629627309237,-1.0740167022683167
A067,T3,A067_T3,73.19,-1.4752139,,-0.9555565,0.033312414,-1.569277240006302,-0.7466146727586593
A067,T4,A067_T4,144.19,-1.1757759,,-0.61965704,0.033312414,-1.252075100031227,0.030357834429657896
A068,T1,A068_T1,1.0,1.3038205,,0.16652554,0.033312414,1.3746231959582351,1.8488848731167096
A068,T2,A068_T2,30.49,0.163223,,-0.106564544,0.033312414,0.16635982307229286,1.2171973817055945
A068,T3,A068_T3,82.98,0.4192529,,-0.30650812,0.033312414,0.43757868032355857,0.7547058327733104
A068,T4,A068_T4,155.59,-0.3906647,,-0.4836062,0.033312414,-0.4203872288912937,0.3450584363891746
A069,T1,A069_T1,1.0,-0.7867887,,-0.73993486,0.033312414,-0.8400112595603694,-0.24785803220062816
A069,T2,A069_T2,24.96,-1.5067587,,-0.8647377,0.033312414,-1.6026934332252178,-0.5365407692881556
A069,T3,A069_T3,79.75,-0.71302193,,-0.7490341,0.033312414,-0.7618682807031463,-0.2689055781428225
A069,T4,A069_T4,140.22,-1.7110198,,-1.0363842,0.033312414,-1.8190723097661474,-0.9335780597175584
A070,T1,A070_T1,1.0,0.5967721,,-0.49851632,0.033312414,0.6256291953773039,0.3105696839545065
