composite_ID,UID,test,residual
A025_4,A025,T4,-1.0933917091987992
A026_1,A026,T1,0.029154724944818966
A026_2,A026,T2,-0.15536354846804334
A026_3,A026,T3,0.704753203062408
A026_4,A026,T4,-0.2708308182376432
A027_1,A027,T1,0.3224202248446665
A027_2,A027,T2,0.4998884278313639
A027_3,A027,T3,-0.40236415057442987
A027_4,A027,T4,-0.470098908451835
A028_1,A028,T1,0.7750952551607668
A028_2,A028,T2,-0.2061748606336127
A028_3,A028,T3,0.057192647232756286
A028_4,A028,T4,-0.5406665591401462
A029_1,A029,T1,0.17034118226087247
A029_2,A029,T2,-0.369459477255494
A029_3,A029,T3,0.7310201419783529
A029_4,A029,T4,0.2587642287366678
A030_1,A030,T1,-0.7232822275209598
A030_2,A030,T2,0.992570602067808
A030_3,A030,T3,-0.23454877417867168
A030_4,A030,T4,0.30110982557469956
A031_1,A031,T1,1.2170338461231505
A031_2,A031,T2,-0.17730500184496614
A031_3,A031,T3,-0.1306102607782562
A031_4,A031,T4,-0.5908912195068243
A032_1,A032,T1,-0.5005544886609944
A032_2,A032,T2,-0.5065132066675191
A032_3,A032,T3,0.3144265758849701
A032_4,A032,T4,1.2684213616220124
A033_1,A033,T1,-0.5730924233114014
A033_2,A033,T2,0.32914549271939236
A033_3,A033,T3,0.9112183961649394
A033_4,A033,T4,-0.37965935772467135
A034_1,A034,T1,0.8460643907098175
A034_2,A034,T2,0.274661947192422
A034_3,A034,T3,-0.33569871320653144
A034_4,A034,T4,-0.3218696417776354
A035_1,A035,T1,-0.6195864342205453
A035_2,A035,T2,1.078360707619968
A035_3,A035,T3,-0.08760595524406439
A035_4,A035,T4,-0.5170204183149155
A036_1,A036,T1,0.6843400494939522
A036_2,A036,T2,-0.02185399335510163
A036_3,A036,T3,-0.09093398884818144
A036_4,A036,T4,-0.6318496661360224
A037_1,A037,T1,-0.030271288525194118
A037_2,A037,T2,0.8326626899115863
A037_3,A037,T3,0.034740284456880544
A037_4,A037,T4,-0.3542695950394929
A038_1,A038,T1,0.07745519283766611
A038_2,A038,T2,-0.34588679337558664
A038_3,A038,T3,0.79104323612717
A038_4,A038,T4,-0.11830634045781495
A039_1,A039,T1,0.4967624335734757
A039_2,A039,T2,0.44777980314408783
A039_3,A039,T3,-0.12406616152755412
A039_4,A039,T4,0.1107318377655484
A040_1,A040,T1,-0.4662982768619004
A040_2,A040,T2,0.9908339344509354
A040_3,A040,T3,-0.6920926606040888
A040_4,A040,T4,-0.5493009244425338
A041_1,A041,T1,0.4028505735040503
A041_2,A041,T2,-1.1274198092341279
