UID,HCE_rate_mean,z_baseline_accuracy,z_baseline_confidence,z_Age,z_confidence_bias
A041,0.03819444444444437,0.6080298829867226,0.9301695480216062,-0.6564184268121213,0.3467720134253531
A042,0.0034722222222222,-1.749546305426665,-0.9765945405786536,-0.4506446253036193,0.8320553749504888
A043,0.11805555555555552,0.42488743663127715,1.6116357620649262,-0.4506446253036193,1.277492811061404
A044,0.0,-0.8507525056454973,-1.6192414583160584,-0.4506446253036193,-0.8272513146862988
A045,0.045138888888888826,-1.7735577109185081,-1.1534275425647529,-0.51923589247312,0.6675483040641653
A046,0.07638888888888885,-1.6225968819476917,-0.6548795485998022,-0.4506446253036193,1.0417136557068265
A047,0.055555555555555525,-1.597451368044422,-0.4593227623562872,-0.5878271596426206,1.2251553936666768
A048,0.04166666666666662,0.47197478695851636,0.20199141171412263,-0.4506446253036193,-0.2906276028279006
A049,0.01736111111111105,1.635093035443947,0.9392900845434773,-0.6564184268121213,-0.7490073915763523
A050,0.04513888888888885,-1.2026019270819643,0.12041543810121182,-0.24487082379511735,1.4241816370908407
A051,0.06249999999999996,0.9789666520672117,0.5850646003328517,-0.24487082379511735,-0.42402169741348134
A052,0.0277777777777777,-0.08635861204154864,-0.04908711603513343,-0.10768828945611604,0.04012145387970149
A053,0.0034722222222222,0.8414533680044562,0.4925865432089825,-0.03909702228661539,-0.3755428603880124
A054,0.06249999999999995,-0.15372758031574443,1.0035693127430028,-0.10768828945611604,1.2457893804956606
A055,0.0104166666666666,-0.4259890738536487,0.40305142840594976,-0.03909702228661539,0.892432927030565
A056,0.020833333333333277,-0.1503106459579993,-0.914603146287368,-0.1762795566256167,-0.8227339814127288
A057,0.034722222222222175,-0.18840402053080554,-0.2072311183647791,-0.31346209096461797,-0.020266708299135325
A058,0.020833333333333277,0.4096449106092249,0.5183602109787667,-0.1762795566256167,0.11702819519355259
A059,0.0208333333333333,0.3819134002316377,-0.2809347118363398,-0.10768828945611604,-0.7135326672426883
A060,0.0833333333333333,-0.808223603675735,-0.27850080382856235,0.2352680463913872,0.570227953271224
A061,0.09027777777777775,2.1209219903541965,2.062168106921662,0.16667677922188656,-0.06324648798604873
A062,0.024305555555555497,0.9935328676183122,0.4462661658463577,0.2352680463913872,-0.58911334632934
A063,0.0,0.2286318887280536,-1.9779914380681625,0.02949424488288526,-2.3753523609755223
A064,0.0416666666666666,0.19462809251395213,0.5540765440080304,0.16667677922188656,0.3869336091652334
A065,0.027777777777777752,-3.2909722898323372,-0.9619484548651819,0.16667677922188656,2.507112200789495
A066,0.02083333333333325,-0.22127936128102235,-0.6936074262578333,0.16667677922188656,-0.5084445408843814
A067,0.01736111111111105,0.0023330132799972278,-0.2497563896399522,0.2352680463913872,-0.2713653713034059
A068,0.06597222222222218,0.7300806528279116,1.2964050677781938,0.30385931356088786,0.609628303931397
A069,0.0486111111111111,-1.643032627849911,-0.8412805797973264,0.09808551205238591,0.8630578663480903
A070,0.027777777777777728,-0.07251121758096518,-0.271948540563581,0.5096331150693898,-0.21468726005956174
A071,0.05902777777777773,0.4988924658622051,0.7443558341763904,0.3724505807303885,0.26423267821819346
A072,0.09027777777777776,0.34232443508984467,0.7069121568203109,0.3724505807303885,0.3924658527255422
