composite_ID,theta_IFR,theta_ICR,theta_IRE
A099_T1,-0.064961754,-0.3416763,-0.34861672
A099_T2,-0.31006446,-0.39286786,-0.41960979
A099_T3,-0.21895191,-0.40396613,-0.43296552
A099_T4,0.15053967,-0.01833827,0.14981984
A100_T1,-1.2126187,-1.1558143,-0.94789445
A100_T2,-1.4344765,-1.4681864,-1.3051229
A100_T3,-1.2479417,-1.1701916,-1.0451132
A100_T4,-2.0239038,-2.0508847,-2.09582
A101_T1,-1.2731978,-1.3215982,-0.8669146
A101_T2,-1.1086003,-1.1668546,-1.108629
A101_T3,-1.9725126,-1.993008,-2.0761015
A101_T4,-2.0498724,-2.0853493,-2.142606
A102_T1,-0.44881764,-0.5625449,-0.63283443
A102_T2,-0.2760488,-0.56949335,-0.52398455
A102_T3,-0.7322986,-0.7311992,-0.69513667
A102_T4,-0.5112276,-0.6570118,-0.7183664
A103_T1,-1.2768189,-1.6435269,-1.7498329
A103_T2,-2.048627,-2.0936081,-2.0942152
A103_T3,-2.0330637,-2.110701,-2.1460495
A103_T4,-2.0208638,-2.101791,-2.1302235
A104_T1,-0.14472565,-0.08616073,-0.085648075
A104_T2,-0.38849923,-0.13799793,-0.17182614
A104_T3,-0.34081724,-0.5169379,-0.43731493
A104_T4,-1.3405621,-1.3847142,-1.0838006
A105_T1,0.3389884,0.12219363,-0.0019952208
A105_T2,-0.018263184,-0.21955031,-0.22010376
A105_T3,-0.5324555,-0.5896061,-0.7424138
A105_T4,-0.55578387,-0.8612178,-0.8280655
A106_T1,-0.08975216,-0.13893694,-0.20479836
A106_T2,-0.47337112,-0.72410065,-0.7976768
A106_T3,-0.3229855,-0.54424804,-0.5798377
A106_T4,-0.3505955,-0.4856159,-0.6646698
A107_T1,-2.0221431,-2.0724385,-2.102975
A107_T2,-2.3797915,-2.402253,-2.404939
A107_T3,-1.6856569,-1.7346002,-1.6646762
A107_T4,-2.0272665,-2.0962186,-2.1479194
A108_T1,-0.70243335,-0.9197124,-0.66891956
A108_T2,-1.2429473,-1.0804219,-1.1670325
A108_T3,-1.0344843,-1.0950638,-0.8443754
A108_T4,-1.2373474,-1.0994402,-1.0972366
A109_T1,-1.2675298,-1.3779972,-1.1301537
A109_T2,-1.2936102,-1.6382191,-1.7419994
A109_T3,-1.2107798,-1.0166818,-1.2116194
A109_T4,-1.9815632,-2.0779703,-2.1307528
