composite_ID,UID,TEST,TSVR_hours,log_TSVR,location,theta
A057_T1,A057,T1,1.0,0.6931471805599453,Source,0.0127590895
A057_T2,A057,T2,24.78,3.2495989975110415,Source,-0.72472906
A057_T3,A057,T3,73.83,4.315218874092267,Source,-0.981297
A057_T4,A057,T4,145.06,4.984017496191964,Source,-1.6090205
A058_T1,A058,T1,1.0,0.6931471805599453,Source,0.061943173
A058_T2,A058,T2,22.96,3.1763857732472487,Source,-0.76731753
A058_T3,A058,T3,66.28,4.208863015664693,Source,-0.39766318
A058_T4,A058,T4,143.48,4.973141089668675,Source,-1.1715075
A059_T1,A059,T1,1.0,0.6931471805599453,Source,-0.25681245
A059_T2,A059,T2,30.4,3.4468078929142076,Source,-0.34766477
A059_T3,A059,T3,79.78,4.391729410135267,Source,-0.4188016
A059_T4,A059,T4,151.93,5.029980300360032,Source,-0.101484
A060_T1,A060,T1,1.0,0.6931471805599453,Source,-0.644866
A060_T2,A060,T2,24.87,3.2530839961979376,Source,-0.09615028
A060_T3,A060,T3,94.68,4.561009290202322,Source,-0.114304185
A060_T4,A060,T4,143.91,4.976112860057833,Source,0.22243512
A061_T1,A061,T1,1.0,0.6931471805599453,Source,0.70674014
A061_T2,A061,T2,35.16,3.5879535355239756,Source,0.34549332
A061_T3,A061,T3,82.55,4.425445255041403,Source,-0.16252935
A061_T4,A061,T4,146.56,4.994234872728475,Source,0.027568102
A062_T1,A062,T1,1.0,0.6931471805599453,Source,0.24922419
A062_T2,A062,T2,44.69,3.8218794555751803,Source,-0.39694244
A062_T3,A062,T3,92.72,4.540311613639595,Source,-0.5588065
A062_T4,A062,T4,149.18,5.011834574671738,Source,-1.200749
A063_T1,A063,T1,1.0,0.6931471805599453,Source,-0.98894
A063_T2,A063,T2,21.98,3.1346242724206097,Source,-1.4651557
A063_T3,A063,T3,69.99,4.262539022051294,Source,-1.5791053
A063_T4,A063,T4,141.09,4.956460659649984,Source,-1.7509248
A064_T1,A064,T1,1.0,0.6931471805599453,Source,0.08150023
A064_T2,A064,T2,37.65,3.654546775033431,Source,-0.2014035
A064_T3,A064,T3,82.99,4.430697744137536,Source,-0.4634593
A064_T4,A064,T4,156.21,5.057582491203423,Source,-0.86327004
A065_T1,A065,T1,1.0,0.6931471805599453,Source,-0.28583542
A065_T2,A065,T2,32.31,3.5058576522055884,Source,-1.6586721
A065_T3,A065,T3,106.41,4.676653287609955,Source,-1.6791027
A065_T4,A065,T4,187.43,5.238726585134399,Source,-1.5810145
A066_T1,A066,T1,1.0,0.6931471805599453,Source,-0.65797085
A066_T2,A066,T2,23.35,3.192531849528599,Source,-0.46232635
A066_T3,A066,T3,73.79,4.314684186203576,Source,-0.7121843
A066_T4,A066,T4,164.93,5.111566012674697,Source,-1.2585001
A067_T1,A067,T1,1.0,0.6931471805599453,Source,-0.26883042
A067_T2,A067,T2,29.91,3.431079756144025,Source,-1.6097723
A067_T3,A067,T3,73.19,4.306629370201435,Source,-1.6110896
A067_T4,A067,T4,144.19,4.978043229495596,Source,-1.3744572
A068_T1,A068,T1,1.0,0.6931471805599453,Source,0.46348393
A068_T2,A068,T2,30.49,3.4496700351129332,Source,0.3130849
A068_T3,A068,T3,82.98,4.430578675256047,Source,0.21906394
A068_T4,A068,T4,155.59,5.053630924557352,Source,-0.26454616
A069_T1,A069,T1,1.0,0.6931471805599453,Source,-1.0210688
A069_T2,A069,T2,24.96,3.2565568918358894,Source,-1.6984748
A069_T3,A069,T3,79.75,4.391357962102766,Source,-1.6173936
A069_T4,A069,T4,140.22,4.950318958088201,Source,-1.4792693
A070_T1,A070,T1,1.0,0.6931471805599453,Source,0.087869346
A070_T2,A070,T2,24.25,3.228826155721369,Source,-0.45063603
A070_T3,A070,T3,81.92,4.417876287567579,Source,-0.8471191
A070_T4,A070,T4,149.2,5.011967739330034,Source,-1.7073361
A071_T1,A071,T1,1.0,0.6931471805599453,Source,0.43833178
A071_T2,A071,T2,30.92,3.463232772581608,Source,-0.42639652
A071_T3,A071,T3,79.96,4.3939552055391555,Source,-0.97401035
A071_T4,A071,T4,153.27,5.038704314023848,Source,-0.51238585
A072_T1,A072,T1,1.0,0.6931471805599453,Source,0.40019226
A072_T2,A072,T2,33.76,3.548467300397191,Source,0.20886338
A072_T3,A072,T3,83.54,4.437224795138644,Source,-0.44359374
A072_T4,A072,T4,154.89,5.04915063032459,Source,-0.7566408
A073_T1,A073,T1,1.0,0.6931471805599453,Source,-0.54192835
A073_T2,A073,T2,66.66,4.214495163352562,Source,-0.66379476
A073_T3,A073,T3,66.9,4.21803603456465,Source,-0.71545494
A073_T4,A073,T4,140.12,4.949610592258481,Source,-0.67257667
A074_T1,A074,T1,1.0,0.6931471805599453,Source,0.26932
A074_T2,A074,T2,29.33,3.41213732170049,Source,-0.34384635
A074_T3,A074,T3,73.02,4.30433532695801,Source,-0.51103044
A074_T4,A074,T4,147.21,4.998630186968824,Source,-0.40131557
A075_T1,A075,T1,1.0,0.6931471805599453,Source,-0.25515464
A075_T2,A075,T2,28.68,3.39047341829918,Source,-0.23953032
A075_T3,A075,T3,71.37,4.281791848878036,Source,-1.3759944
A075_T4,A075,T4,244.53,5.5034191393614815,Source,-0.74685985
A076_T1,A076,T1,1.0,0.6931471805599453,Source,-0.5924384
A076_T2,A076,T2,27.3,3.342861804649192,Source,-1.6846266
A076_T3,A076,T3,74.88,4.3291531450668135,Source,-1.0939492
A076_T4,A076,T4,149.28,5.0125002207057685,Source,-1.4926583
A077_T1,A077,T1,1.0,0.6931471805599453,Source,0.22672701
A077_T2,A077,T2,53.88,4.00514898341763,Source,-0.44985828
A077_T3,A077,T3,78.36,4.373994462976618,Source,-0.3103215
A077_T4,A077,T4,149.75,5.015622835607295,Source,-0.20550269
A078_T1,A078,T1,1.0,0.6931471805599453,Source,-0.8952676
A078_T2,A078,T2,26.17,3.3021134234382563,Source,-0.8208281
A078_T3,A078,T3,72.3,4.294560608892605,Source,-1.2026373
