UID,test,Theta_All,Prob_simple,Prob_TCC
A038,3,0.9667946,0.7244801327606758,0.711475043780446
A038,4,-0.017467948,0.4956331240378854,0.5772090797346398
A039,1,2.174663,0.8979510539709766,0.8278640229466792
A039,2,1.3026897,0.7862873071239602,0.7490569508443075
A039,3,0.567675,0.6382265206364149,0.6612378869398958
A039,4,0.72307914,0.6732847039750213,0.6815187838116107
A040,1,-0.5069201,0.375915803054908,0.4996683568824255
A040,2,0.14172223,0.5353713739105197,0.6011758216002789
A040,3,-1.6828778,0.15671477666586883,0.3093511727233421
A040,4,-1.6119773,0.16631427242706492,0.3202389866410621
A041,1,1.1962991,0.7678657597890254,0.7376129000160927
A041,2,-1.1736511,0.23619566497124125,0.3901302817533125
A041,3,0.2872409,0.5713205257924663,0.6223971802403069
A041,4,0.1290578,0.5322197416343488,0.5992968644132296
A042,1,-0.8806226,0.2930487775052159,0.4382783093915622
A042,2,-0.99250966,0.27041665790332625,0.4198358865101644
A042,3,-0.17139933,0.45725476280212124,0.5533728720432773
A042,4,-1.260689,0.2208553075095886,0.3759776652160162
A043,1,1.0349586,0.7378760938909847,0.7194469603604347
A043,2,0.5667534,0.6380137021564654,0.6611149130849064
A043,3,0.56906503,0.6385474077229227,0.6614233061256671
A043,4,-0.36708274,0.4092461220595279,0.5222931293720816
A044,1,-0.0888245,0.47780846363189305,0.5662345087917421
A044,2,-0.37333766,0.40773477210448544,0.5212875963437752
A044,3,-1.308094,0.21280596167135765,0.36831477119399886
A044,4,-1.7971689,0.14219604239716765,0.2921241982716859
A045,1,-0.9017756,0.288685747746437,0.43478930505396746
A045,2,-1.0143217,0.26613493929036874,0.4162461306788937
A045,3,-1.1242429,0.2452251175576761,0.3982045189495877
A045,4,-1.2476392,0.22310907212449735,0.3780930965592568
A046,1,-0.7687857,0.31674184225700525,0.45672295599516805
A046,2,-1.3034526,0.21358452348166432,0.3690634724700412
A046,3,-1.624248,0.16461985197390372,0.31834435658740595
A046,4,-1.154563,0.23965661967016835,0.3932465537178958
A047,1,-0.7466336,0.32155526455596894,0.4603732454878841
A047,2,-0.5145792,0.37412066918199355,0.4984213099965866
A047,3,-1.2429395,0.22392473769895838,0.37885553647055914
A047,4,-1.600209,0.16795240626050678,0.3220599488096331
A048,1,1.0764405,0.745819790186338,0.7242117033014739
A048,2,-0.06019045,0.48495692884213953,0.5706545799701074
A048,3,0.14282681,0.5356461261701772,0.6013394662925166
A048,4,0.09614354,0.5240173872955894,0.5943904894207122
A049,1,2.1010969,0.8910097459713471,0.8221785538342685
A049,2,-0.5321013,0.37002692665881953,0.4955657256829453
A049,3,0.37812865,0.5934216768987224,0.6352916000171396
A049,4,0.034191336,0.5085470013620388,0.5850675788220089
A050,1,-0.39878848,0.40160345535699027,0.517189418810486
A050,2,-0.71372736,0.32877575361923206,0.4657919155881069
