UID,TEST,location_type,theta,se,TSVR_hours
A019,T2,Destination,-1.6998299,0.5,28.69
A019,T3,Destination,-1.5546432,0.5,83.68
A019,T4,Destination,-1.6211447,0.5,154.76
A020,T1,Destination,0.084936984,0.5,1.0
A020,T2,Destination,-0.38507468,0.5,26.85
A020,T3,Destination,-0.8200439,0.5,78.25
A020,T4,Destination,-1.4524196,0.5,145.78
A021,T1,Destination,-0.29108983,0.5,1.0
A021,T2,Destination,-0.21397233,0.5,30.21
A021,T3,Destination,-0.72609866,0.5,74.19
A021,T4,Destination,-0.52507687,0.5,140.39
A022,T1,Destination,-0.9335841,0.5,1.0
A022,T2,Destination,-1.239637,0.5,24.15
A022,T3,Destination,-0.8647789,0.5,74.46
A022,T4,Destination,-1.5464507,0.5,141.71
A023,T1,Destination,0.20654905,0.5,1.0
A023,T2,Destination,-0.33590782,0.5,25.63
A023,T3,Destination,-0.5276897,0.5,72.2
A023,T4,Destination,-0.09092378,0.5,145.07
A024,T1,Destination,-0.490049,0.5,1.0
A024,T2,Destination,-0.613402,0.5,29.57
A024,T3,Destination,-0.31282544,0.5,91.47
A024,T4,Destination,-0.15840495,0.5,145.65
A025,T1,Destination,-0.07447063,0.5,1.0
A025,T2,Destination,-0.09470015,0.5,23.33
A025,T3,Destination,-0.74952257,0.5,72.94
A025,T4,Destination,-1.3529526,0.5,137.74
A026,T1,Destination,0.08161802,0.5,1.0
A026,T2,Destination,0.023693688,0.5,26.48
A026,T3,Destination,-0.2586269,0.5,75.46
A026,T4,Destination,0.07215012,0.5,147.65
A027,T1,Destination,0.20354348,0.5,1.0
A027,T2,Destination,0.24188459,0.5,28.26
A027,T3,Destination,-0.9671205,0.5,74.58
A027,T4,Destination,-1.2659346,0.5,145.92
A028,T1,Destination,0.4769665,0.5,1.0
A028,T2,Destination,0.1722151,0.5,22.82
A028,T3,Destination,-0.31882703,0.5,72.26
A028,T4,Destination,-0.9104983,0.5,138.91
A029,T1,Destination,0.58631253,0.5,1.0
A029,T2,Destination,-0.057473175,0.5,28.43
A029,T3,Destination,-0.2605461,0.5,93.26
A029,T4,Destination,-0.15465695,0.5,143.14
A030,T1,Destination,-0.780341,0.5,1.0
A030,T2,Destination,-0.3914131,0.5,32.95
A030,T3,Destination,-0.36319333,0.5,71.93
A030,T4,Destination,-0.6311003,0.5,150.46
A031,T1,Destination,0.8747201,0.5,1.0
A031,T2,Destination,0.28195387,0.5,32.41
A031,T3,Destination,-0.69375503,0.5,71.56
A031,T4,Destination,-0.59017634,0.5,143.85
A032,T1,Destination,0.09588946,0.5,1.0
A032,T2,Destination,-0.33580983,0.5,57.18
A032,T3,Destination,-0.16218269,0.5,80.16
A032,T4,Destination,0.07253409,0.5,144.51
A033,T1,Destination,-0.24775255,0.5,1.0
A033,T2,Destination,-0.5203942,0.5,29.16
A033,T3,Destination,0.00516624,0.5,72.6
A033,T4,Destination,-0.8157016,0.5,168.33
A034,T1,Destination,0.45592862,0.5,1.0
A034,T2,Destination,0.5142764,0.5,26.08
A034,T3,Destination,-0.14541733,0.5,74.28
A034,T4,Destination,-0.5549027,0.5,145.38
A035,T1,Destination,-0.10640716,0.5,1.0
A035,T2,Destination,-0.21338701,0.5,44.76
A035,T3,Destination,-0.4429525,0.5,79.98
A035,T4,Destination,-1.2231709,0.5,152.47
