composite_ID,domain_name,theta
A068_1,cued_recall,1.2019067
A068_2,cued_recall,0.31043682
A068_3,cued_recall,1.0747032
A068_4,cued_recall,-0.41671067
A069_1,cued_recall,-0.95428914
A069_2,cued_recall,-0.79467976
A069_3,cued_recall,-0.364594
A069_4,cued_recall,-1.5780851
A070_1,cued_recall,0.15919316
A070_2,cued_recall,0.28953958
A070_3,cued_recall,-0.51661706
A070_4,cued_recall,-0.99680454
A071_1,cued_recall,0.09418282
A071_2,cued_recall,0.04762795
A071_3,cued_recall,-0.6325631
A071_4,cued_recall,0.26408225
A072_1,cued_recall,0.9686449
A072_2,cued_recall,1.2134988
A072_3,cued_recall,-0.6772602
A072_4,cued_recall,0.14673539
A073_1,cued_recall,0.8921978
A073_2,cued_recall,0.47184306
A073_3,cued_recall,1.2197483
A073_4,cued_recall,1.1375177
A074_1,cued_recall,0.47493166
A074_2,cued_recall,-0.2044005
A074_3,cued_recall,-0.523762
A074_4,cued_recall,-0.91373956
A075_1,cued_recall,0.7344085
A075_2,cued_recall,0.5018632
A075_3,cued_recall,-1.3311142
A075_4,cued_recall,-0.9757304
A076_1,cued_recall,-0.48319983
A076_2,cued_recall,-0.6370745
A076_3,cued_recall,-1.3080995
A076_4,cued_recall,-1.7300732
A077_1,cued_recall,0.42685947
A077_2,cued_recall,-0.22857809
A077_3,cued_recall,0.1538527
A077_4,cued_recall,-0.02310603
A078_1,cued_recall,-0.6178746
A078_2,cued_recall,-0.11250132
A078_3,cued_recall,-0.5750603
A078_4,cued_recall,-0.9994712
A079_1,cued_recall,0.44548923
A079_2,cued_recall,-0.14038649
A079_3,cued_recall,-0.9763439
A079_4,cued_recall,-0.7269287
A080_1,cued_recall,0.2356009
A080_2,cued_recall,0.58283246
A080_3,cued_recall,0.50382173
A080_4,cued_recall,-0.5543853
A081_1,cued_recall,0.16914374
A081_2,cued_recall,-0.341259
A081_3,cued_recall,1.3188998
A081_4,cued_recall,0.2545566
A082_1,cued_recall,0.10065434
A082_2,cued_recall,1.4481347
A082_3,cued_recall,0.77848506
A082_4,cued_recall,-0.72057605
A083_1,cued_recall,1.0975921
A083_2,cued_recall,0.68259376
A083_3,cued_recall,-0.05246974
A083_4,cued_recall,0.43971235
A084_1,cued_recall,0.90818465
A084_2,cued_recall,-0.0966907
A084_3,cued_recall,-0.39997357
A084_4,cued_recall,-0.092813
A085_1,cued_recall,-0.18040021
A085_2,cued_recall,0.9905588
A085_3,cued_recall,0.024079185
A085_4,cued_recall,-1.0965936
A086_1,cued_recall,0.6446105
A086_2,cued_recall,0.16123049
A086_3,cued_recall,-0.7665979
A086_4,cued_recall,-0.53178227
A087_1,cued_recall,0.8076693
A087_2,cued_recall,1.1900513
A087_3,cued_recall,0.22729774
A087_4,cued_recall,0.126088
A088_1,cued_recall,0.9517149
A088_2,cued_recall,2.1951292
A088_3,cued_recall,1.4445713
A088_4,cued_recall,1.9911661
A089_1,cued_recall,1.4680953
A089_2,cued_recall,0.80218726
A089_3,cued_recall,0.4347555
A089_4,cued_recall,0.040353835
A090_1,cued_recall,-0.46153116
A090_2,cued_recall,-0.4709815
A090_3,cued_recall,-1.1405268
A090_4,cued_recall,-0.7155009
A091_1,cued_recall,1.018137
A091_2,cued_recall,0.0057827653
A091_3,cued_recall,-1.1330525
A091_4,cued_recall,-0.8702816
A092_1,cued_recall,0.20360859
A092_2,cued_recall,-0.5045187
A092_3,cued_recall,-1.0556047
A092_4,cued_recall,-0.6676977
A093_1,cued_recall,0.4983117
A093_2,cued_recall,1.077569
A093_3,cued_recall,0.28934494
A093_4,cued_recall,0.1536726
A094_1,cued_recall,-1.0991929
A094_2,cued_recall,-0.1878118
A094_3,cued_recall,-1.2775381
A094_4,cued_recall,-1.0213622
A095_1,cued_recall,2.1684978
A095_2,cued_recall,0.09219371
A095_3,cued_recall,-0.41264033
A095_4,cued_recall,-0.2282476
A096_1,cued_recall,-0.507502
A096_2,cued_recall,-0.5087064
A096_3,cued_recall,-1.7523963
A096_4,cued_recall,-1.4719225
