UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence
A108,T1,Source,-0.8011535,1.0,-0.7909203
A108,T2,Source,-0.5113533,27.61,-0.80433625
A108,T3,Source,0.030380113,68.96,-0.7921201
A108,T4,Source,-1.5837336,152.12,-0.76942104
A109,T1,Source,-0.121756904,1.0,-1.3589526
A109,T2,Source,-0.9755655,24.65,-1.8378288
A109,T3,Source,0.17754932,71.17,-0.98674816
A109,T4,Source,-1.646698,149.87,-1.5363755
A010,T1,Destination,2.010915,1.0,0.13693643
A010,T2,Destination,1.0975147,21.9,-0.1731106
A010,T3,Destination,-1.186541,80.88,-0.446819
A010,T4,Destination,-0.4293288,145.31,-0.80998075
A011,T1,Destination,1.1835473,1.0,0.5820918
A011,T2,Destination,0.07751111,24.57,0.20171207
A011,T3,Destination,-0.5014456,72.55,-0.08963197
A011,T4,Destination,-0.84890825,148.85,-0.9402442
A012,T1,Destination,0.33868304,1.0,0.11614872
A012,T2,Destination,-1.1255839,25.6,-0.8692789
A012,T3,Destination,0.09193352,166.33,-0.61992574
A012,T4,Destination,-0.9537699,166.87,-0.3019384
A013,T1,Destination,-0.035398606,1.0,-0.050787084
A013,T2,Destination,-0.3057711,24.77,-0.3442688
A013,T3,Destination,0.9779469,79.66,-0.10295295
A013,T4,Destination,-0.066024296,147.13,-1.3484422
A014,T1,Destination,0.7553257,1.0,0.284858
A014,T2,Destination,-0.4665811,25.66,-0.02648484
A014,T3,Destination,0.12054519,70.56,-0.5064211
A014,T4,Destination,-0.5400671,148.87,-0.8566756
A015,T1,Destination,1.0023323,1.0,0.5536311
A015,T2,Destination,1.4194467,23.69,0.047094353
A015,T3,Destination,0.24626894,70.59,-0.40970647
A015,T4,Destination,-0.43521827,146.54,-0.6451764
A016,T1,Destination,1.7207321,1.0,-0.053390674
A016,T2,Destination,1.479976,32.85,0.14018714
A016,T3,Destination,-0.6975632,80.64,-0.67556345
A016,T4,Destination,-0.8562173,150.8,-0.4178216
A017,T1,Destination,-0.15520337,1.0,0.50636506
A017,T2,Destination,0.41041905,20.61,0.6012197
A017,T3,Destination,0.22881152,61.28,0.8671315
A017,T4,Destination,-0.7611534,140.49,0.228042
A018,T1,Destination,1.5116286,1.0,0.3249135
A018,T2,Destination,0.4516168,34.03,-0.11045133
A018,T3,Destination,-0.5255531,83.64,-0.8337312
A018,T4,Destination,-0.6034264,150.87,-1.1547185
A019,T1,Destination,-1.1137557,1.0,-1.7082322
A019,T2,Destination,0.2184492,28.69,-1.6998299
A019,T3,Destination,-0.34441203,83.68,-1.5546432
A019,T4,Destination,-0.9084577,154.76,-1.6211447
