UID,TEST,LocationType,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A068,T1,Destination,1.0,1.4733075,0.65786695,1.768309432850916,1.7913479541584572,0.5618240441845742
A068,T2,Destination,30.49,-0.34633532,0.36208034,-0.44904889570826867,1.3460954794043352,0.9299952186369835
A068,T3,Destination,82.98,-0.3125315,-0.43609893,-0.40785664578412395,0.1445830266772206,0.20261253574401156
A068,T4,Destination,155.59,-0.21757181,-0.44159007,-0.2921418158270567,0.1363171228412716,0.16463682984940342
A069,T1,Destination,1.0,-0.18573126,-0.55585605,-0.2533419437024794,-0.035689346198030165,0.051107658292490046
A069,T2,Destination,24.96,-0.75497293,-1.5368589,-0.9470015696819554,-1.5124091568187563,-0.6302858796164206
A069,T3,Destination,79.75,-0.45664144,-1.5020038,-0.5834643926314774,-1.4599411984726962,-0.7028762108143809
A069,T4,Destination,140.22,-0.621072,-1.389695,-0.7838341947037601,-1.2908809048486347,-0.5449512454986575
A070,T1,Destination,1.0,-0.025029317,-0.12926179,-0.05751571461500754,0.6064700469567288,0.3776401138913318
A070,T2,Destination,24.25,-0.7115501,-0.13407838,-0.8940879029492118,0.5992195543892122,0.6122786244360684
A070,T3,Destination,81.92,-0.60091597,-1.0468057,-0.7592727035693689,-0.7747239720121263,-0.24454568191382695
A070,T4,Destination,149.2,-0.9432329,-1.5684022,-1.1764091258383895,-1.5598918078654407,-0.5930388450188699
A071,T1,Destination,1.0,-0.09704123,0.054713376,-0.14526712016064613,0.8834109062971851,0.5676502629890462
A071,T2,Destination,30.92,-0.43790084,-0.8447603,-0.5606276990587266,-0.47058169064690003,-0.12014018350639599
A071,T3,Destination,79.96,-0.8310883,-1.0355132,-1.039753316203761,-0.7577251850448565,-0.1543053186501887
A071,T4,Destination,153.27,-0.20154567,-0.8932065,-0.2726128760741136,-0.5435085565467227,-0.24584317206676481
