UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A022,T2,Source,0.90218073,24.15,-1.1806171,1.0745257079287476,-0.9686692117856922,-2.04319491971444
A022,T3,Source,0.64592147,74.46,-0.50528514,0.7767706889792367,0.025883174441544185,-0.7508875145376925
A022,T4,Source,0.74378496,141.71,-1.6193532,0.8904810981929966,-1.6147900249914395,-2.505271123184436
A023,T1,Source,0.8170031,1.0,-0.008607179,0.9755553650239706,0.7573341949130591,-0.21822117011091147
A023,T2,Source,0.5076978,25.63,-0.12537467,0.6161646235433147,0.5853722655415876,-0.030792358001727083
A023,T3,Source,0.6582759,72.2,-0.39015383,0.79112565722023,0.1954355218381752,-0.5956901353820547
A023,T4,Source,-0.32591987,145.07,-0.29832917,-0.3524397700208326,0.3306644760809222,0.6831042461017548
A024,T1,Source,0.31113845,1.0,-0.20211285,0.38777665042595866,0.47236096953579043,0.08458431910983177
A024,T2,Source,0.54446435,29.57,0.16492903,0.6588847375089844,1.0128986594732412,0.35401392196425685
A024,T3,Source,-0.2945651,91.47,-0.4272341,-0.31600775919122376,0.14082790189012737,0.4568356610813511
A024,T4,Source,-1.4681152,145.65,-1.0978867,-1.679589439180858,-0.8468332531653808,0.8327561860154771
A025,T1,Source,1.0412298,1.0,0.45483387,1.236090829410648,1.4398376575932548,0.2037468281826067
A025,T2,Source,1.480383,23.33,0.08867258,1.7463555877953338,0.9005968008247657,-0.8457587869705682
A025,T3,Source,0.13729797,72.94,-0.25969863,0.18578638706301878,0.3875551580179161,0.20176877095489734
A025,T4,Source,-0.3094319,137.74,-1.2874054,-0.3332819225354814,-1.1259349194328614,-0.79265299689738
A026,T1,Source,0.8561924,1.0,-0.25306702,1.0210905420322787,0.3973214417726912,-0.6237691002595875
A026,T2,Source,-0.1953155,26.48,-0.28826064,-0.20068678882421584,0.3454922661610785,0.5461790549852943
A026,T3,Source,0.7336966,75.46,-0.34990782,0.8787591419875136,0.2547052849360526,-0.624053857051461
A026,T4,Source,-0.42854974,147.65,-0.17483813,-0.47168837351182785,0.512528086548407,0.9842164600602348
A027,T1,Source,0.59530455,1.0,0.12711489,0.7179574309772981,0.9572102789468245,0.2392528479695264
A027,T2,Source,0.7602098,28.26,-0.27823544,0.9095655931120981,0.36025624472712364,-0.5493093483849745
A027,T3,Source,-0.47716057,74.58,-0.8404651,-0.5281706977322344,-0.4677318901165578,0.06043880761567655
A027,T4,Source,-0.4226555,145.92,-1.3038985,-0.4648396861984681,-1.1502240882162915,-0.6853844020178235
A028,T1,Source,1.1920228,1.0,0.13968277,1.4113015615904474,0.9757188284960233,-0.4355827330944241
A028,T2,Source,-0.37323314,22.82,-0.14180255,-0.4074144218847822,0.561179145383829,0.9685935672686112
A028,T3,Source,0.4525285,72.26,-0.52440846,0.5520618240310893,-0.0022794843175451625,-0.5543413083486345
A028,T4,Source,-1.4747403,138.91,-1.3177925,-1.6872873337897878,-1.1706855970337344,0.5166017367560534
A029,T1,Source,1.4011933,1.0,0.76609373,1.6543427933148298,1.898225909349851,0.24388311603502122
A029,T2,Source,0.22787775,28.43,0.4118755,0.2910336437293439,1.376573438035317,1.085539794305973
A029,T3,Source,1.1538624,93.26,0.08174226,1.3669618931424823,0.8903906108299691,-0.4765712823125132
A029,T4,Source,-0.056302976,143.14,-0.24477404,-0.0391641311928805,0.4095344030072442,0.4486985342001247
A030,T1,Source,0.77168596,1.0,-0.19728833,0.9229000741305308,0.4794659759068809,-0.4434340982236499
A030,T2,Source,1.0246594,32.95,0.21377146,1.2168372041328688,1.0848282558537188,-0.13200894827915
A030,T3,Source,0.54660773,71.93,-0.47402352,0.6613751924978732,0.07192174600319386,-0.5894534464946793
A030,T4,Source,1.3088306,150.46,0.2392587,1.5470239105211776,1.1223629748685662,-0.4246609356526114
A031,T1,Source,1.2707294,1.0,0.35223007,1.5027530282592094,1.2887344073843026,-0.21401862087490686
A031,T2,Source,-0.06876846,32.41,0.066912115,-0.05364813627677416,0.8685504537347148,0.922198590011489
A031,T3,Source,-0.23774107,71.56,-0.6555821,-0.24998228120678886,-0.19545715752008755,0.054525123686701316
A031,T4,Source,-1.0014096,143.85,-0.9255208,-1.1373107532444242,-0.5929922870881864,0.5443184661562378
