composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours
A059_T1,A059,1,-0.5023268,0.033312414,1.0
A059_T2,A059,2,-0.47173324,0.033312414,30.4
A059_T3,A059,3,-0.9825946,0.033312414,79.78
A059_T4,A059,4,-0.5769608,0.033312414,151.93
A060_T1,A060,1,-0.50129473,0.033312414,1.0
A060_T2,A060,2,-0.3035681,0.033312414,24.87
A060_T3,A060,3,-0.39956075,0.033312414,94.68
A060_T4,A060,4,-0.35726425,0.033312414,143.91
A061_T1,A061,1,0.49123833,0.033312414,1.0
A061_T2,A061,2,0.10699007,0.033312414,35.16
A061_T3,A061,3,-0.22055449,0.033312414,82.55
A061_T4,A061,4,-0.2480352,0.033312414,146.56
A062_T1,A062,1,-0.19396584,0.033312414,1.0
A062_T2,A062,2,-0.42571765,0.033312414,44.69
A062_T3,A062,3,-1.2115375,0.033312414,92.72
A062_T4,A062,4,-0.6887581,0.033312414,149.18
A063_T1,A063,1,-1.2219437,0.033312414,1.0
A063_T2,A063,2,-1.9641893,0.033312414,21.98
A063_T3,A063,3,-1.1443956,0.033312414,69.99
A063_T4,A063,4,-1.078894,0.033312414,141.09
A064_T1,A064,1,-0.14825012,0.033312414,1.0
A064_T2,A064,2,-0.4947842,0.033312414,37.65
A064_T3,A064,3,-0.52582866,0.033312414,82.99
A064_T4,A064,4,-0.7778792,0.033312414,156.21
A065_T1,A065,1,-0.79110265,0.033312414,1.0
A065_T2,A065,2,-1.2535007,0.033312414,32.31
A065_T3,A065,3,-0.29050693,0.033312414,106.41
A065_T4,A065,4,-0.641902,0.033312414,187.43
A066_T1,A066,1,-0.6773158,0.033312414,1.0
A066_T2,A066,2,-0.52447873,0.033312414,23.35
A066_T3,A066,3,-0.7255086,0.033312414,73.79
A066_T4,A066,4,-1.3507166,0.033312414,164.93
A067_T1,A067,1,-0.489106,0.033312414,1.0
A067_T2,A067,2,-1.0970984,0.033312414,29.91
A067_T3,A067,3,-0.9555565,0.033312414,73.19
A067_T4,A067,4,-0.61965704,0.033312414,144.19
A068_T1,A068,1,0.16652554,0.033312414,1.0
A068_T2,A068,2,-0.106564544,0.033312414,30.49
A068_T3,A068,3,-0.30650812,0.033312414,82.98
A068_T4,A068,4,-0.4836062,0.033312414,155.59
A069_T1,A069,1,-0.73993486,0.033312414,1.0
A069_T2,A069,2,-0.8647377,0.033312414,24.96
A069_T3,A069,3,-0.7490341,0.033312414,79.75
A069_T4,A069,4,-1.0363842,0.033312414,140.22
A070_T1,A070,1,-0.49851632,0.033312414,1.0
A070_T2,A070,2,-0.4727255,0.033312414,24.25
A070_T3,A070,3,-0.9917136,0.033312414,81.92
A070_T4,A070,4,-0.9997019,0.033312414,149.2
A071_T1,A071,1,-0.06756443,0.033312414,1.0
A071_T2,A071,2,-1.0183284,0.033312414,30.92
A071_T3,A071,3,-1.3937839,0.033312414,79.96
A071_T4,A071,4,-0.66643244,0.033312414,153.27
A072_T1,A072,1,-0.08344198,0.033312414,1.0
A072_T2,A072,2,-0.053039327,0.033312414,33.76
A072_T3,A072,3,-0.7992932,0.033312414,83.54
A072_T4,A072,4,-0.64755213,0.033312414,154.89
A073_T1,A073,1,-0.7472555,0.033312414,1.0
A073_T2,A073,2,-0.90187174,0.033312414,66.66
A073_T3,A073,3,-0.8532445,0.033312414,66.9
A073_T4,A073,4,-0.94447434,0.033312414,140.12
A074_T1,A074,1,-0.10384461,0.033312414,1.0
A074_T2,A074,2,-0.47984323,0.033312414,29.33
A074_T3,A074,3,-0.8331525,0.033312414,73.02
A074_T4,A074,4,-0.8946965,0.033312414,147.21
A075_T1,A075,1,-0.5195184,0.033312414,1.0
A075_T2,A075,2,-0.4355136,0.033312414,28.68
A075_T3,A075,3,-0.6645374,0.033312414,71.37
A075_T4,A075,4,-0.8704096,0.033312414,244.53
A076_T1,A076,1,-0.88919824,0.033312414,1.0
A076_T2,A076,2,-0.92914766,0.033312414,27.3
A076_T3,A076,3,-0.9904418,0.033312414,74.88
A076_T4,A076,4,-1.0130427,0.033312414,149.28
A077_T1,A077,1,-0.20553797,0.033312414,1.0
A077_T2,A077,2,-0.53009486,0.033312414,53.88
A077_T3,A077,3,-0.9393,0.033312414,78.36
A077_T4,A077,4,-0.3668686,0.033312414,149.75
A078_T1,A078,1,-0.94877625,0.033312414,1.0
A078_T2,A078,2,-0.9174186,0.033312414,26.17
A078_T3,A078,3,-1.0069405,0.033312414,72.3
A078_T4,A078,4,-1.1135154,0.033312414,140.08
A079_T1,A079,1,-0.5209985,0.033312414,1.0
A079_T2,A079,2,-0.22519995,0.033312414,26.11
A079_T3,A079,3,-0.5245844,0.033312414,74.0
A079_T4,A079,4,-0.73008084,0.033312414,194.42
A080_T1,A080,1,-0.09753483,0.033312414,1.0
A080_T2,A080,2,-0.39678386,0.033312414,29.03
A080_T3,A080,3,-0.71688837,0.033312414,72.87
A080_T4,A080,4,-1.2722905,0.033312414,145.77
A081_T1,A081,1,-0.25508967,0.033312414,1.0
A081_T2,A081,2,-0.49507838,0.033312414,31.39
