composite_ID,UID,test,TSVR_hours,log_TSVR,congruence,theta
A078_T3,A078,T3,72.3,4.294560608892605,Common,-1.1755528
A078_T4,A078,T4,140.08,4.949327105367852,Common,-1.6281742
A079_T1,A079,T1,1.0,0.6931471805599453,Common,-0.7502331
A079_T2,A079,T2,26.11,3.299902663510574,Common,-0.41225544
A079_T3,A079,T3,74.0,4.31748811353631,Common,-0.99254286
A079_T4,A079,T4,194.42,5.275151088516197,Common,-0.837205
A080_T1,A080,T1,1.0,0.6931471805599453,Common,-0.20710465
A080_T2,A080,T2,29.03,3.402196881995239,Common,-0.35981783
A080_T3,A080,T3,72.87,4.302306791540646,Common,-0.68286556
A080_T4,A080,T4,145.77,4.988866735623107,Common,-0.66473716
A081_T1,A081,T1,1.0,0.6931471805599453,Common,-0.5619618
A081_T2,A081,T2,31.39,3.477849733183238,Common,-0.52070814
A081_T3,A081,T3,80.13,4.396052806406973,Common,-0.54776675
A081_T4,A081,T4,154.53,5.046838639056468,Common,-0.6759289
A082_T1,A082,T1,1.0,0.6931471805599453,Common,-0.43267933
A082_T2,A082,T2,27.97,3.366260811781259,Common,-0.5221211
A082_T3,A082,T3,75.71,4.3400320779712045,Common,-0.71099526
A082_T4,A082,T4,170.25,5.143124477142335,Common,-1.0763048
A083_T1,A083,T1,1.0,0.6931471805599453,Common,-0.014479123
A083_T2,A083,T2,25.15,3.263849190510932,Common,-0.52126294
A083_T3,A083,T3,74.3,4.321480134805848,Common,-0.47261283
A083_T4,A083,T4,144.91,4.982989993275931,Common,-0.62272316
A084_T1,A084,T1,1.0,0.6931471805599453,Common,-1.4468749
A084_T2,A084,T2,27.25,3.34109345759245,Common,-1.4820385
A084_T3,A084,T3,91.97,4.532276860467767,Common,-1.1448486
A084_T4,A084,T4,162.51,5.096874150546495,Common,-1.8147483
A085_T1,A085,T1,1.0,0.6931471805599453,Common,-0.20767209
A085_T2,A085,T2,24.51,3.23907053215372,Common,-0.15754423
A085_T3,A085,T3,71.4,4.282206299391671,Common,-0.03752645
A085_T4,A085,T4,170.65,5.145457519903701,Common,-0.75069934
A086_T1,A086,T1,1.0,0.6931471805599453,Common,-0.23173031
A086_T2,A086,T2,23.47,3.19744787745458,Common,-0.2378132
A086_T3,A086,T3,145.29,4.985590952989995,Common,-0.7805211
A086_T4,A086,T4,169.55,5.139028508864655,Common,-0.72769994
A087_T1,A087,T1,1.0,0.6931471805599453,Common,0.34658077
A087_T2,A087,T2,31.07,3.4679210137050633,Common,-0.23304829
A087_T3,A087,T3,72.8,4.301358731606427,Common,-0.3063664
A087_T4,A087,T4,144.2,4.978112102390695,Common,-0.25141045
A088_T1,A088,T1,1.0,0.6931471805599453,Common,-0.494729
A088_T2,A088,T2,24.25,3.228826155721369,Common,-0.30284712
A088_T3,A088,T3,74.91,4.3295484280286765,Common,-0.28755614
A088_T4,A088,T4,149.93,5.016816153171337,Common,-0.110589705
A089_T1,A089,T1,1.0,0.6931471805599453,Common,-0.18898878
A089_T2,A089,T2,32.14,3.500741011998417,Common,-0.20322582
A089_T3,A089,T3,79.34,4.386267628931136,Common,-0.51160556
A089_T4,A089,T4,146.96,4.996941966964253,Common,-0.3331053
A090_T1,A090,T1,1.0,0.6931471805599453,Common,-1.4588678
A090_T2,A090,T2,23.54,3.2003044392827653,Common,-1.2216866
A090_T3,A090,T3,95.42,4.568713648977476,Common,-2.1413026
