composite_ID,theta_All,se_All
A097_T2,-2.2715406,0.03239922
A097_T3,-1.8982385,0.03239922
A097_T4,-2.0885553,0.03239922
A098_T1,-0.2911234,0.03239922
A098_T2,-0.5022525,0.03239922
A098_T3,-0.19104534,0.03239922
A098_T4,-0.53968745,0.03239922
A099_T1,-0.23160914,0.03239922
A099_T2,-0.36688483,0.03239922
A099_T3,-0.33982933,0.03239922
A099_T4,0.06057843,0.03239922
A100_T1,-1.1643945,0.03239922
A100_T2,-1.4355785,0.03239922
A100_T3,-1.1984288,0.03239922
A100_T4,-2.3907359,0.03239922
A101_T1,-1.1384091,0.03239922
A101_T2,-1.1739205,0.03239922
A101_T3,-2.128937,0.03239922
A101_T4,-2.3174284,0.03239922
A102_T1,-0.5412505,0.03239922
A102_T2,-0.43843967,0.03239922
A102_T3,-0.71332,0.03239922
A102_T4,-0.61318415,0.03239922
A103_T1,-1.7304054,0.03239922
A103_T2,-2.1286194,0.03239922
A103_T3,-2.0230885,0.03239922
A103_T4,-2.303955,0.03239922
A104_T1,-0.14757402,0.03239922
A104_T2,-0.25256503,0.03239922
A104_T3,-0.44039676,0.03239922
A104_T4,-1.2884427,0.03239922
A105_T1,0.123756826,0.03239922
A105_T2,-0.18362878,0.03239922
A105_T3,-0.60006315,0.03239922
A105_T4,-0.7357671,0.03239922
A106_T1,-0.17586444,0.03239922
A106_T2,-0.6606748,0.03239922
A106_T3,-0.46094087,0.03239922
A106_T4,-0.46960342,0.03239922
A107_T1,-2.125878,0.03239922
A107_T2,-2.8372936,0.03239922
A107_T3,-1.7667851,0.03239922
A107_T4,-2.3184922,0.03239922
A108_T1,-0.8059673,0.03239922
A108_T2,-1.1446744,0.03239922
A108_T3,-1.0165296,0.03239922
A108_T4,-1.0938103,0.03239922
A109_T1,-1.310192,0.03239922
A109_T2,-1.6407058,0.03239922
A109_T3,-1.1137226,0.03239922
A109_T4,-2.4055374,0.03239922
