composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A101_T4,A101,T4,150.22,-0.7247952922332728,0.1665900167153575
A102_T1,A102,T1,1.0,-0.35952440264819746,0.054074393216403005
A102_T2,A102,T2,29.13,-0.5875259799776705,0.03914961737417585
A102_T3,A102,T3,75.27,-0.7493142843772351,0.04466039953273504
A102_T4,A102,T4,150.41,-0.7245198439920146,0.16742560425882358
A103_T1,A103,T1,1.0,-0.35952440264819746,0.054074393216403005
A103_T2,A103,T2,27.26,-0.5772667300416398,0.04283756267298518
A103_T3,A103,T3,80.24,-0.7573000044346716,0.044295336137465856
A103_T4,A103,T4,149.72,-0.7255208247937298,0.16438891091556557
A104_T1,A104,T1,1.0,-0.35952440264819746,0.054074393216403005
A104_T2,A104,T2,22.6,-0.5499811644178679,0.05153627031803138
A104_T3,A104,T3,72.62,-0.7443290713266355,0.04397585041768645
A104_T4,A104,T4,145.78,-0.7312518976949405,0.14696793629799346
A105_T1,A105,T1,1.0,-0.35952440264819746,0.054074393216403005
A105_T2,A105,T2,22.77,-0.5510235791040912,0.05123800193556553
A105_T3,A105,T3,69.46,-0.7377176035421765,0.04240336676462412
A105_T4,A105,T4,146.2,-0.7306412731042938,0.148828876893471
A106_T1,A106,T1,1.0,-0.35952440264819746,0.054074393216403005
A106_T2,A106,T2,22.64,-0.5502267814310213,0.05146625251977446
A106_T3,A106,T3,66.08,-0.7298390792595452,0.03987269420983147
A106_T4,A106,T4,147.13,-0.7292881109028446,0.15294763787168636
A107_T1,A107,T1,1.0,-0.35952440264819746,0.054074393216403005
A107_T2,A107,T2,26.22,-0.5713980016391398,0.044855092790694204
A107_T3,A107,T3,71.45,-0.7419659178087388,0.043487154490433
A107_T4,A107,T4,145.95,-0.7310047886631316,0.14772121657074633
A108_T1,A108,T1,1.0,-0.35952440264819746,0.054074393216403005
A108_T2,A108,T2,27.61,-0.5792151010531277,0.04215212691725254
A108_T3,A108,T3,68.96,-0.7366047790444741,0.04208245411299003
A108_T4,A108,T4,152.12,-0.7220490253396404,0.17492191669418003
A109_T1,A109,T1,1.0,-0.35952440264819746,0.054074393216403005
A109_T2,A109,T2,24.65,-0.5623050638681241,0.04782941772467473
A109_T3,A109,T3,71.17,-0.7413856097174563,0.043353690482406254
A109_T4,A109,T4,149.87,-0.7253030702444754,0.16504956393496845
