Name,Label,Function,Type,Regex
i_d_alarm_1_bed_p4_bed_a,i_d_alarm_1_bed_p4_bed_a,mean,vr,.*BED.*-D-.*-n1.*-ANS
i_d_magazine_2_dresser_bed_bed_a,i_d_magazine_2_dresser_bed_bed_a,mean,vr,.*BED.*-D-.*-n2.*-ANS
i_d_picture_3_p1_dresser_bed_a,i_d_picture_3_p1_dresser_bed_a,mean,vr,.*BED.*-D-.*-n3.*-ANS
i_d_frypan_4_bookshelf_wardrobe_bed_a,i_d_frypan_4_bookshelf_wardrobe_bed_a,mean,vr,.*BED.*-D-.*-n4.*-ANS
i_d_phone_5_p4_p2_bed_a,i_d_phone_5_p4_p2_bed_a,mean,vr,.*BED.*-D-.*-n5.*-ANS
i_d_knife_6_p3_bookshelf_bed_a,i_d_knife_6_p3_bookshelf_bed_a,mean,vr,.*BED.*-D-.*-n6.*-ANS
i_d_letters_1_p2_fridge_kit_a,i_d_letters_1_p2_fridge_kit_a,mean,vr,.*KIT.*-D-.*-n1.*-ANS
i_d_cutlery_2_oven_p2_kit_a,i_d_cutlery_2_oven_p2_kit_a,mean,vr,.*KIT.*-D-.*-n2.*-ANS
i_d_toaster_3_p4_oven_kit_a,i_d_toaster_3_p4_oven_kit_a,mean,vr,.*KIT.*-D-.*-n3.*-ANS
i_d_oil_4_p1_p3_kit_a,i_d_oil_4_p1_p3_kit_a,mean,vr,.*KIT.*-D-.*-n4.*-ANS
i_d_keys_5_bench_pantry_kit_a,i_d_keys_5_bench_pantry_kit_a,mean,vr,.*KIT.*-D-.*-n5.*-ANS
i_d_tpaper_6_pantry_bench_kit_a,i_d_tpaper_6_pantry_bench_kit_a,mean,vr,.*KIT.*-D-.*-n6.*-ANS
i_d_drill_1_couch_bookcase_liv_a,i_d_drill_1_couch_bookcase_liv_a,mean,vr,.*LIV.*-D-.*-n1.*-ANS
i_d_mask_2_p4_p1_liv_a,i_d_mask_2_p4_p1_liv_a,mean,vr,.*LIV.*-D-.*-n2.*-ANS
i_d_lamp_3_p2_couch_liv_a,i_d_lamp_3_p2_couch_liv_a,mean,vr,.*LIV.*-D-.*-n3.*-ANS
i_d_handbag_4_tv_p2_liv_a,i_d_handbag_4_tv_p2_liv_a,mean,vr,.*LIV.*-D-.*-n4.*-ANS
i_d_laptop_5_chair_tv_liv_a,i_d_laptop_5_chair_tv_liv_a,mean,vr,.*LIV.*-D-.*-n5.*-ANS
i_d_newspaper_6_p3_chair_liv_a,i_d_newspaper_6_p3_chair_liv_a,mean,vr,.*LIV.*-D-.*-n6.*-ANS
i_o_duck_1_bath_shower_bat_a,i_o_duck_1_bath_shower_bat_a,mean,vr,.*BAT.*-O-.*-n1.*-ANS
i_o_remote_2_p2_bath_bat_a,i_o_remote_2_p2_bath_bat_a,mean,vr,.*BAT.*-O-.*-n2.*-ANS
i_o_tbrushes_3_p3_p4_bat_a,i_o_tbrushes_3_p3_p4_bat_a,mean,vr,.*BAT.*-O-.*-n3.*-ANS
i_o_book_4_toilet_p3_bat_a,i_o_book_4_toilet_p3_bat_a,mean,vr,.*BAT.*-O-.*-n4.*-ANS
i_o_hammer_5_sink_toilet_bat_a,i_o_hammer_5_sink_toilet_bat_a,mean,vr,.*BAT.*-O-.*-n5.*-ANS
i_o_glasses_6_p1_sink_bat_a,i_o_glasses_6_p1_sink_bat_a,mean,vr,.*BAT.*-O-.*-n6.*-ANS
i_o_alarm_1_bed_p4_bed_a,i_o_alarm_1_bed_p4_bed_a,mean,vr,.*BED.*-O-.*-n1.*-ANS
i_o_magazine_2_dresser_bed_bed_a,i_o_magazine_2_dresser_bed_bed_a,mean,vr,.*BED.*-O-.*-n2.*-ANS
i_o_picture_3_p1_dresser_bed_a,i_o_picture_3_p1_dresser_bed_a,mean,vr,.*BED.*-O-.*-n3.*-ANS
i_o_frypan_4_bookshelf_wardrobe_bed_a,i_o_frypan_4_bookshelf_wardrobe_bed_a,mean,vr,.*BED.*-O-.*-n4.*-ANS
i_o_phone_5_p4_p2_bed_a,i_o_phone_5_p4_p2_bed_a,mean,vr,.*BED.*-O-.*-n5.*-ANS
i_o_knife_6_p3_bookshelf_bed_a,i_o_knife_6_p3_bookshelf_bed_a,mean,vr,.*BED.*-O-.*-n6.*-ANS
i_o_letters_1_p2_fridge_kit_a,i_o_letters_1_p2_fridge_kit_a,mean,vr,.*KIT.*-O-.*-n1.*-ANS
i_o_cutlery_2_oven_p2_kit_a,i_o_cutlery_2_oven_p2_kit_a,mean,vr,.*KIT.*-O-.*-n2.*-ANS
i_o_toaster_3_p4_oven_kit_a,i_o_toaster_3_p4_oven_kit_a,mean,vr,.*KIT.*-O-.*-n3.*-ANS
i_o_oil_4_p1_p3_kit_a,i_o_oil_4_p1_p3_kit_a,mean,vr,.*KIT.*-O-.*-n4.*-ANS
i_o_keys_5_bench_pantry_kit_a,i_o_keys_5_bench_pantry_kit_a,mean,vr,.*KIT.*-O-.*-n5.*-ANS
i_o_tpaper_6_pantry_bench_kit_a,i_o_tpaper_6_pantry_bench_kit_a,mean,vr,.*KIT.*-O-.*-n6.*-ANS
i_o_drill_1_couch_bookcase_liv_a,i_o_drill_1_couch_bookcase_liv_a,mean,vr,.*LIV.*-O-.*-n1.*-ANS
i_o_mask_2_p4_p1_liv_a,i_o_mask_2_p4_p1_liv_a,mean,vr,.*LIV.*-O-.*-n2.*-ANS
i_o_lamp_3_p2_couch_liv_a,i_o_lamp_3_p2_couch_liv_a,mean,vr,.*LIV.*-O-.*-n3.*-ANS
i_o_handbag_4_tv_p2_liv_a,i_o_handbag_4_tv_p2_liv_a,mean,vr,.*LIV.*-O-.*-n4.*-ANS
i_o_laptop_5_chair_tv_liv_a,i_o_laptop_5_chair_tv_liv_a,mean,vr,.*LIV.*-O-.*-n5.*-ANS
i_o_newspaper_6_p3_chair_liv_a,i_o_newspaper_6_p3_chair_liv_a,mean,vr,.*LIV.*-O-.*-n6.*-ANS
i_n_duck_1_bath_shower_bat_c,i_n_duck_1_bath_shower_bat_c,mean,vr,.*BAT.*-N-.*-n1.*-CON
i_n_remote_2_p2_bath_bat_c,i_n_remote_2_p2_bath_bat_c,mean,vr,.*BAT.*-N-.*-n2.*-CON
i_n_tbrushes_3_p3_p4_bat_c,i_n_tbrushes_3_p3_p4_bat_c,mean,vr,.*BAT.*-N-.*-n3.*-CON
i_n_book_4_toilet_p3_bat_c,i_n_book_4_toilet_p3_bat_c,mean,vr,.*BAT.*-N-.*-n4.*-CON
i_n_hammer_5_sink_toilet_bat_c,i_n_hammer_5_sink_toilet_bat_c,mean,vr,.*BAT.*-N-.*-n5.*-CON
i_n_glasses_6_p1_sink_bat_c,i_n_glasses_6_p1_sink_bat_c,mean,vr,.*BAT.*-N-.*-n6.*-CON
i_n_alarm_1_bed_p4_bed_c,i_n_alarm_1_bed_p4_bed_c,mean,vr,.*BED.*-N-.*-n1.*-CON
i_n_magazine_2_dresser_bed_bed_c,i_n_magazine_2_dresser_bed_bed_c,mean,vr,.*BED.*-N-.*-n2.*-CON
i_n_picture_3_p1_dresser_bed_c,i_n_picture_3_p1_dresser_bed_c,mean,vr,.*BED.*-N-.*-n3.*-CON
i_n_frypan_4_bookshelf_wardrobe_bed_c,i_n_frypan_4_bookshelf_wardrobe_bed_c,mean,vr,.*BED.*-N-.*-n4.*-CON
i_n_phone_5_p4_p2_bed_c,i_n_phone_5_p4_p2_bed_c,mean,vr,.*BED.*-N-.*-n5.*-CON
i_n_knife_6_p3_bookshelf_bed_c,i_n_knife_6_p3_bookshelf_bed_c,mean,vr,.*BED.*-N-.*-n6.*-CON
i_n_letters_1_p2_fridge_kit_c,i_n_letters_1_p2_fridge_kit_c,mean,vr,.*KIT.*-N-.*-n1.*-CON
i_n_cutlery_2_oven_p2_kit_c,i_n_cutlery_2_oven_p2_kit_c,mean,vr,.*KIT.*-N-.*-n2.*-CON
i_n_toaster_3_p4_oven_kit_c,i_n_toaster_3_p4_oven_kit_c,mean,vr,.*KIT.*-N-.*-n3.*-CON
i_n_oil_4_p1_p3_kit_c,i_n_oil_4_p1_p3_kit_c,mean,vr,.*KIT.*-N-.*-n4.*-CON
i_n_keys_5_bench_pantry_kit_c,i_n_keys_5_bench_pantry_kit_c,mean,vr,.*KIT.*-N-.*-n5.*-CON
