UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,Calibration,Classification
A027,T4,A027_T4,145.92,-0.8953637416744017,-1.0689560795116546,-0.1735923378372529,Underconfident
A028,T1,A028_T1,1.0,1.6577348823930786,1.741092521237951,0.0833576388448724,Calibrated
A028,T2,A028_T2,22.82,-0.2124410661247883,0.7643104682279127,0.9767515343527012,Overconfident
A028,T3,A028_T3,72.26,-0.1109790721276567,0.324340763109622,0.4353198352372788,Overconfident
A028,T4,A028_T4,138.91,-0.815653565728154,-0.4482225163190634,0.3674310494090905,Overconfident
A029,T1,A029_T1,1.0,1.796097973221766,1.828801847915476,0.0327038746937098,Calibrated
A029,T2,A029_T2,28.43,0.3537996373008401,0.7285700455372408,0.3747704082364007,Overconfident
A029,T3,A029_T3,93.26,1.3518095741517069,0.8951426017047107,-0.4566669724469961,Underconfident
A029,T4,A029_T4,143.14,0.8073366845834855,-0.1068159916919651,-0.9141526762754506,Underconfident
A030,T1,A030_T1,1.0,0.3470643963959833,0.1568332477510731,-0.1902311486449101,Underconfident
A030,T2,A030_T2,32.95,1.2692036275623348,0.7232014321415577,-0.5460021954207771,Underconfident
A030,T3,A030_T3,71.93,-0.1428643183568339,0.0624118532043899,0.2052761715612238,Overconfident
A030,T4,A030_T4,150.46,0.3451153338542833,-0.2089106671010105,-0.5540260009552939,Underconfident
A031,T1,A031_T1,1.0,2.383024051099418,2.072710749451091,-0.310313301648327,Underconfident
A031,T2,A031_T2,32.41,0.0131981302708643,0.7789664277356936,0.7657682974648292,Overconfident
A031,T3,A031_T3,71.56,-0.0515868014066274,-0.2125700076262137,-0.1609832062195862,Underconfident
A031,T4,A031_T4,143.85,-0.6150547641871168,-1.585319791985093,-0.9702650277979762,Underconfident
A032,T1,A032_T1,1.0,0.8480359485975465,0.6701732624150641,-0.1778626861824823,Underconfident
A032,T2,A032_T2,57.18,-0.1362803808324854,0.3575120372997009,0.4937924181321863,Overconfident
A032,T3,A032_T3,80.16,0.6905854114222335,-0.0390960786410503,-0.7296814900632839,Underconfident
A032,T4,A032_T4,144.51,1.638624660560344,-0.4138393805015767,-2.0524640410619206,Underconfident
A033,T1,A033_T1,1.0,0.4528806713869024,0.7349716246082337,0.2820909532213313,Overconfident
A033,T2,A033_T2,29.16,0.5337746005753456,-0.0755315447204789,-0.6093061452958246,Underconfident
A033,T3,A033_T3,72.6,1.016447320878364,0.9424663175482554,-0.0739810033301086,Calibrated
A033,T4,A033_T4,168.33,-0.4395340398072934,-0.0428443813891358,0.3966896584181575,Overconfident
A034,T1,A034_T1,1.0,2.1501389852816977,1.627278437699291,-0.5228605475824066,Underconfident
A034,T2,A034_T2,26.08,0.6896176439410955,1.7115548565338832,1.0219372125927877,Overconfident
A034,T3,A034_T3,74.28,-0.1133398518987086,1.0211395250254662,1.134479376924175,Overconfident
A034,T4,A034_T4,145.38,-0.1709805076527278,-0.2958355949381422,-0.1248550872854144,Underconfident
A035,T1,A035_T1,1.0,-0.0751814423014505,0.4839945287386935,0.559175971040144,Overconfident
A035,T2,A035_T2,44.76,0.7800844912980682,0.4985273613841756,-0.2815571299138926,Underconfident
A035,T3,A035_T3,79.98,-0.53215469602946,-0.4242406511501612,0.1079140448792987,Overconfident
A035,T4,A035_T4,152.47,-1.0548746022893687,-0.8479093358326562,0.2069652664567125,Overconfident
A036,T1,A036_T1,1.0,1.4006049408487524,-1.4632722269613798,-2.8638771678101325,Underconfident
A036,T2,A036_T2,21.63,-0.1680186245403916,-0.912638859862722,-0.7446202353223305,Underconfident
A036,T3,A036_T3,71.47,-0.4275240492858718,-1.8750255252424533,-1.4475014759565816,Underconfident
A036,T4,A036_T4,143.85,-1.0765663566164214,-2.1451396767170285,-1.0685733201006071,Underconfident
A037,T1,A037_T1,1.0,1.2435801463649347,1.2622703348053423,0.0186901884404075,Calibrated
A037,T2,A037_T2,23.7,1.319950270790195,1.0381761376739167,-0.2817741331162782,Underconfident
A037,T3,A037_T3,72.08,0.3045347566059729,-0.1174798928862081,-0.422014649492181,Underconfident
A037,T4,A037_T4,143.66,-0.1824129436261767,-0.3770822533011402,-0.1946693096749635,Underconfident
A038,T1,A038_T1,1.0,1.2709227000673329,0.8929357325423334,-0.3779869675249995,Underconfident
A038,T2,A038_T2,71.85,-0.1850526224661933,0.4265916891207392,0.6116443115869326,Overconfident
A038,T3,A038_T3,72.86,1.0176032562477586,0.5303878422184883,-0.4872154140292702,Underconfident
A038,T4,A038_T4,152.89,-0.0250506037263266,0.909473268508282,0.9345238722346086,Overconfident
A039,T1,A039_T1,1.0,2.2971283709234847,1.79046648554415,-0.5066618853793345,Underconfident
A039,T2,A039_T2,28.65,1.3734253113214028,1.7406203321498013,0.3671950208283985,Overconfident
A039,T3,A039_T3,98.84,0.5948059118025113,1.13392312948241,0.5391172176798986,Overconfident
A039,T4,A039_T4,246.24,0.7594293923526958,0.2580659194685115,-0.5013634728841843,Underconfident
