UID,test,composite_ID,TSVR_hours,z_theta_accuracy,z_theta_confidence,Calibration
A034,T3,A034_T3,74.28,-0.1133398518987086,1.0211395250254662,0.5560443566040916
A034,T4,A034_T4,145.38,-0.1709805076527278,-0.2958355949381422,-0.0711670817569043
A035,T1,A035_T1,1.0,-0.0751814423014505,0.4839945287386935,0.2730199132877603
A035,T2,A035_T2,44.76,0.7800844912980682,0.4985273613841756,-0.0971275765798707
A035,T3,A035_T3,79.98,-0.53215469602946,-0.4242406511501612,0.0245528635332096
A035,T4,A035_T4,152.47,-1.0548746022893687,-0.8479093358326562,0.0452264756257956
A036,T1,A036_T1,1.0,1.4006049408487524,-1.4632722269613798,-1.3430990588491438
A036,T2,A036_T2,21.63,-0.1680186245403916,-0.912638859862722,-0.3781381831866615
A036,T3,A036_T3,71.47,-0.4275240492858718,-1.8750255252424533,-0.7405648647622045
A036,T4,A036_T4,143.85,-1.0765663566164214,-2.1451396767170285,-0.5880611101961014
A037,T1,A037_T1,1.0,1.2435801463649347,1.2622703348053423,0.0768568876167511
A037,T2,A037_T2,23.7,1.319950270790195,1.0381761376739167,-0.0678907365433685
A037,T3,A037_T3,72.08,0.3045347566059729,-0.1174798928862081,-0.1925814775994992
A037,T4,A037_T4,143.66,-0.1824129436261767,-0.3770822533011402,-0.1063857712403612
A038,T1,A038_T1,1.0,1.2709227000673329,0.8929357325423334,-0.1182350583703041
A038,T2,A038_T2,71.85,-0.1850526224661933,0.4265916891207392,0.293049189559512
A038,T3,A038_T3,72.86,1.0176032562477586,0.5303878422184883,-0.1861336987386875
A038,T4,A038_T4,152.89,-0.0250506037263266,0.909473268508282,0.4617529523361265
A039,T1,A039_T1,1.0,2.2971283709234847,1.79046648554415,-0.1262221058375554
A039,T2,A039_T2,28.65,1.3734253113214028,1.7406203321498013,0.2566203885418174
A039,T3,A039_T3,98.84,0.5948059118025113,1.13392312948241,0.2994966866677436
A039,T4,A039_T4,246.24,0.7594293923526958,0.2580659194685115,-0.2071779679603209
A040,T1,A040_T1,1.0,-0.5435394729740699,0.0798908713325184,0.2794043646397856
A040,T2,A040_T2,26.26,0.143583521283235,0.4322084529914816,0.1508360415984075
A040,T3,A040_T3,71.28,-1.7892607874370556,-0.2277765567833082,0.6765571600210681
A040,T4,A040_T4,143.53,-1.7141541198621224,0.3825000591953116,0.9458495022564724
A041,T1,A041_T1,1.0,1.2607230958603317,1.4896638021441104,0.1819808718822321
A041,T2,A041_T2,31.78,-1.2498242464087106,0.760624665720656,0.9283680704956522
A041,T3,A041_T3,75.74,0.297735076965302,0.7986851611927338,0.2644352323289366
A041,T4,A041_T4,141.84,0.130167774792928,0.1174756756674228,0.0007855403571434
A042,T1,A042_T1,1.0,-0.939411849606413,-0.3805803469059819,0.2258740054449714
A042,T2,A042_T2,28.93,-1.0579366022013394,-1.1778825262488843,-0.116944742746253
A042,T3,A042_T3,72.17,-0.188113955003455,-0.4964275040631754,-0.163013422994738
A042,T4,A042_T4,146.02,-1.3420256641944843,-0.3221374172329344,0.4324721815160622
A043,T1,A043_T1,1.0,1.089811081137255,2.158078005668073,0.5886291885429413
A043,T2,A043_T2,25.62,0.5938296379421426,1.8486726683760129,0.6541301806291979
A043,T3,A043_T3,64.94,0.5962784052423202,1.0604697792762452,0.2624463184367946
A043,T4,A043_T4,149.33,-0.3954062706401479,0.1711083767758772,0.2592508776725073
A044,T1,A044_T1,1.0,-0.1006403785566512,-1.010918753733104,-0.4565697311532467
A044,T2,A044_T2,47.66,-0.4020322633644277,-0.7692469537117398,-0.2038301134061778
A044,T3,A044_T3,91.63,-1.3922429627521775,-1.283548181368935,-0.0218102896245924
A044,T4,A044_T4,155.27,-1.9103321995494305,-2.1576170564016377,-0.2263810086776042
A045,T1,A045_T1,1.0,-0.961819749962723,-0.5540264954362101,0.1498071994546439
A045,T2,A045_T2,24.66,-1.081042640063007,-0.0565551114960194,0.4489371307686871
A045,T3,A045_T3,72.23,-1.1974849081406334,-0.9674988973066206,0.0488831068229385
A045,T4,A045_T4,151.52,-1.3282016856538623,-0.0895967358526991,0.5416112833645275
A046,T1,A046_T1,1.0,-0.8209402327502409,-0.0650271093516516,0.3299796987545934
A046,T2,A046_T2,24.32,-1.3873262119974958,-0.8497065300263741,0.1910158681171591
A046,T3,A046_T3,73.05,-1.7271527783456555,-1.9250213229958024,-0.1919354504607239
A046,T4,A046_T4,147.94,-1.2296037461112923,-2.1620725694987595,-0.5289312251945282
A047,T1,A047_T1,1.0,-0.7974739608510768,0.1267842098700459,0.414680625544549
A047,T2,A047_T2,23.46,-0.5516529485859933,-0.3914359818145953,0.0494123807477281
A047,T3,A047_T3,76.85,-1.3232231762554534,-1.7371703956073712,-0.2770602697772195
A047,T4,A047_T4,144.22,-1.701687666226082,-2.4418215193865005,-0.4592774097090148
A048,T1,A048_T1,1.0,1.1337538921706978,0.7754323421342828,-0.1159454275226046
A048,T2,A048_T2,23.91,-0.0703076153931472,0.3804777068431086,0.2195705365408312
A048,T3,A048_T3,81.15,0.1447536304202639,0.1832588445790534,0.0269497999587909
A048,T4,A048_T4,146.3,0.095300878448122,0.0358652113133984,-0.0242739870512883
A049,T1,A049_T1,1.0,2.2191979668010275,1.498609654527322,-0.2364718303556823
A049,T2,A049_T2,27.12,-0.5702145460347382,0.2835768893451197,0.3921126595165892
A049,T3,A049_T3,111.38,0.3940147368532242,0.901118915443492,0.2727182443209244
A049,T4,A049_T4,168.86,0.0296733639543957,0.1834416496875912,0.0778146229572809
A050,T1,A050_T1,1.0,-0.4289929516141503,0.6954187797514243,0.5338979042971853
A050,T2,A050_T2,24.73,-0.762615560292252,0.4013248449072347,0.5353527744751132
